the location of the crime, 124, char, 2
211392.219118208, 211392.352228833, 1.02250003814697, 4.0, dob
211392.785659208, 211392.8678035, -5.0, 4.0, do
211394.402567833, 211395.551412708, 11.0050010681152, 4.0, do i
211397.019339625, 211397.085837917, 100.0, 1.0, do
211397.58603, 211398.2527, 14.1399993896484, 4.0, do i
211397.58603, 211398.2527, 14.1399993896484, 4.0, do n
211399.619614833, 211400.185122458, 16.1199989318848, 4.0, do np
211399.619614833, 211400.185122458, 16.1199989318848, 4.0, do nq
211400.802902417, 211400.886265, -5.0, 4.0, do no
211401.586469458, 211402.65298, 20.0799999237061, 4.0, do nou
211401.586469458, 211402.65298, 20.0799999237061, 4.0, do not
211404.253267333, 211404.419785625, 3.57999992370605, 4.0, do nota
211404.253267333, 211404.419785625, 3.57999992370605, 4.0, do notc
211404.93646975, 211405.003207458, -5.0, 4.0, do not
211406.536974208, 211407.251814667, 27.5050010681152, 4.0, do not z
211406.536974208, 211407.251814667, 27.5050010681152, 4.0, do not y
211408.153390958, 211408.218874917, -5.0, 4.0, do not x
211408.303509917, 211408.385541042, -5.0, 4.0, do not w
211408.453419417, 211408.535472625, -5.0, 4.0, do not v
211409.587001917, 211409.67022575, -0.627500057220459, 4.0, do not va
211410.770279, 211410.886727667, 100.0, 1.0, do not v
211411.403658583, 211411.587170542, 100.0, 1.0, do not
211412.387032583, 211413.102494625, 22.3899993896484, 4.0, do not w
211414.087360125, 211414.252508875, 0.0325002670288086, 4.0, do not wa
211415.487265333, 211415.952467042, 12.0774993896484, 4.0, do not wai
211415.487265333, 211415.952467042, 12.0774993896484, 4.0, do not wal
211417.704090667, 211418.187550583, 8.36499977111816, 4.0, do not wali
211419.68750425, 211419.787417333, 100.0, 1.0, do not wal
211420.270935958, 211420.671069375, 9.02500057220459, 4.0, do not wali
211420.270935958, 211420.671069375, 9.02500057220459, 4.0, do not walh
211421.321014583, 211421.386407958, -5.0, 4.0, do not walj
211421.471170542, 211421.537735833, -5.0, 4.0, do not walg
211421.6043525, 211421.686446667, -5.0, 4.0, do not walk
211422.587802875, 211422.670822583, 100.0, 1.0, do not wal
211423.487621875, 211424.087857125, 8.36499977111816, 4.0, do not wali
211423.487621875, 211424.087857125, 8.36499977111816, 4.0, do not walh
211425.421232625, 211425.621105875, 100.0, 1.0, do not wal
211426.754527875, 211428.020149875, 11.0050010681152, 4.0, do not wali
211426.754527875, 211428.020149875, 11.0050010681152, 4.0, do not walk
211429.87157975, 211429.986893375, 0.0325002670288086, 4.0, do not walka
211429.87157975, 211429.986893375, 0.0325002670288086, 4.0, do not walkb
211430.454798792, 211430.520226708, -5.0, 4.0, do not walk
211432.005075958, 211432.737138708, 21.8125, 4.0, do not walk v
211432.005075958, 211432.737138708, 21.8125, 4.0, do not walk w
211433.457622292, 211433.503731875, -5.0, 4.0, do not walk u
211433.63854975, 211433.721696917, -5.0, 4.0, do not walk x
211433.871742667, 211433.970471, -5.0, 4.0, do not walk t
211434.85519575, 211435.520844667, 16.4499988555908, 4.0, do not walk tq
211434.85519575, 211435.520844667, 16.4499988555908, 4.0, do not walk tp
211436.205300375, 211436.270606417, -5.0, 4.0, do not walk tr
211436.371983625, 211436.420704833, -5.0, 4.0, do not walk to
211437.038702208, 211437.63738525, 13.3975009918213, 4.0, do not walk toi
211437.038702208, 211437.63738525, 13.3975009918213, 4.0, do not walk tom
211438.205321458, 211438.304089083, -5.0, 4.0, do not walk ton
211438.388759708, 211438.4556845, -5.0, 4.0, do not walk tol
