find a nearby parking spot, 0, false, 1
find a nearby parking spot, 126, false, 1
229464.632884208, 229464.698185875, -5.0, 4.0
229464.782962167, 229464.848344625, -5.0, 4.0
229464.933048125, 229465.015260792, -5.0, 4.0
229465.099565542, 229465.1979475, -5.0, 4.0
229465.299201625, 229465.381325583, -5.0, 4.0
229465.482832333, 229465.532655708, -5.0, 4.0
229465.7824475, 229465.814704667, -5.0, 4.0
229466.216293917, 229466.299548333, -5.0, 4.0
229467.066195542, 229467.566536875, 3.00250053405762, 4.0
229471.833233125, 229471.898647917, -5.0, 4.0
229472.133265417, 229472.181993375, -5.0, 4.0
229473.433519542, 229475.232413, 15.2124996185303, 4.0
229476.117093167, 229476.198876875, -5.0, 4.0
229477.167124667, 229477.383738833, 0.115000247955322, 4.0
229478.250442583, 229480.649452208, 17.1925010681152, 4.0
229481.183914333, 229481.24931125, -5.0, 4.0
229481.617142375, 229482.216083, 13.1499996185303, 4.0
229482.834055875, 229482.916098, -5.0, 4.0
229482.984204333, 229483.049529458, -5.0, 4.0
229483.117464917, 229483.16610475, -5.0, 4.0
229483.350821583, 229483.416096542, -5.0, 4.0
229483.617593958, 229483.666229375, -5.0, 4.0
229484.067385417, 229484.982957625, 13.5625, 4.0
229485.851033625, 229487.917823958, 12.1599998474121, 4.0
229488.567690375, 229488.651069125, -5.0, 4.0
229488.751100417, 229488.81640575, -5.0, 4.0
229488.901352833, 229488.983158583, -5.0, 4.0
229489.084463708, 229489.149956542, -5.0, 4.0
229489.484503083, 229491.401425792, 12.3249988555908, 4.0
229493.684825375, 229494.768011625, 100.0, 1.0
229493.633480167, 229495.233560125, -5.0, 4.0
229495.751546958, 229496.384929167, 5.3125, 4.0
229496.951546167, 229497.017047917, -5.0, 4.0
229497.118389583, 229497.183689708, -5.0, 4.0
229497.268411042, 229497.333687958, -5.0, 4.0
229497.418431375, 229497.484966875, -5.0, 4.0
229497.585175375, 229497.667201292, -5.0, 4.0
229497.751634292, 229497.817192833, -5.0, 4.0
229498.068432417, 229498.135084292, -5.0, 4.0
229498.484983833, 229500.05173675, 0.692500114440918, 4.0
229500.685244042, 229500.784007083, -5.0, 4.0
229500.835344083, 229500.917190875, -5.0, 4.0
229500.985522292, 229501.034023042, -5.0, 4.0
229502.167511042, 229502.217232042, -5.0, 4.0
229502.91888075, 229503.068859875, 1.43499994277954, 4.0
229503.952212125, 229504.068781417, 100.0, 1.0
229503.952212125, 229504.435450208, 100.0, 1.0
229503.918900042, 229504.850857625, -5.0, 4.0
229505.802076542, 229507.00244175, -0.627500057220459, 4.0
229507.452305125, 229507.534341542, -5.0, 4.0
229507.619163417, 229507.701042917, -5.0, 4.0
229508.919255125, 229511.069350208, 15.2950000762939, 4.0
229511.685866917, 229511.784609042, -5.0, 4.0
229511.852815542, 229511.936140708, -5.0, 4.0
229512.002830417, 229512.069353917, -5.0, 4.0
229512.152661333, 229512.251567, -5.0, 4.0
229512.31935825, 229512.434885333, -0.710000038146973, 4.0
229512.669258083, 229512.768085, -5.0, 4.0
229512.902885417, 229513.001642917, -5.0, 4.0
229513.352822042, 229514.834926958, 13.0675010681152, 4.0
229515.50281475, 229515.5861905, -5.0, 4.0
229515.669731, 229515.76836425, -5.0, 4.0
229515.819841417, 229515.901585667, -5.0, 4.0
229515.936295167, 229516.002860625, -5.0, 4.0
229516.036281875, 229516.118531292, -5.0, 4.0
229516.336249458, 229516.402914917, -5.0, 4.0
229516.719915417, 229516.769594542, -5.0, 4.0
229517.136352708, 229518.63643125, 12.2424983978271, 4.0
229519.253165333, 229519.335175583, -5.0, 4.0
229519.419979292, 229519.46990625, -5.0, 4.0
229519.586515667, 229519.651820875, -5.0, 4.0
229519.719938208, 229519.786531208, -5.0, 4.0
229519.903178583, 229519.985443208, -5.0, 4.0
229520.286378125, 229520.36860825, -5.0, 4.0
229520.803230167, 229521.969925667, 16.0375003814697, 4.0
229522.536592583, 229522.619983042, -5.0, 4.0
229522.70347725, 229522.785417708, -5.0, 4.0
229522.853498708, 229522.918888458, -5.0, 4.0
229523.020064458, 229523.053349083, -5.0, 4.0
229523.236772667, 229523.302230208, -5.0, 4.0
229523.620105208, 229523.703253083, -5.0, 4.0
229523.836835792, 229523.935593125, -5.0, 4.0
229525.103693208, 229525.886904833, 4.56999969482422, 4.0
229529.137067042, 229529.236895125, 100.0, 1.0
public transit is much faster, 133, false, 2
229533.204010667, 229534.25267525, 14.3049983978271, 4.0
229534.837260875, 229534.904097583, -5.0, 4.0
229535.004331542, 229535.069357125, -5.0, 4.0
229535.137671708, 229535.202644833, -5.0, 4.0
229535.454028125, 229535.552781125, -5.0, 4.0
229535.987522208, 229536.669555042, 20.2449989318848, 4.0
229537.737685917, 229538.604258417, 1.10500001907349, 4.0
229539.221110042, 229539.304333333, -5.0, 4.0
229539.837887833, 229540.536572625, 13.1499996185303, 4.0
229541.354585542, 229541.419951083, -5.0, 4.0
229541.504789917, 229541.569925042, -5.0, 4.0
229541.654920875, 229541.703346042, -5.0, 4.0
229542.104768542, 229543.088114833, 6.22000026702881, 4.0
229544.0715265, 229545.721536042, 0.197499752044678, 4.0
229546.271559417, 229546.370303333, -5.0, 4.0
229546.455022917, 229546.520400125, -5.0, 4.0
229546.588188292, 229546.638434125, -5.0, 4.0
229547.45502125, 229547.955032667, 1.1875, 4.0
229548.571814, 229548.655088417, -5.0, 4.0
229548.738367042, 229548.803793792, -5.0, 4.0
229548.905148583, 229548.955101083, -5.0, 4.0
229550.071751333, 229550.321714208, 2.42499971389771, 4.0
229551.271812833, 229551.371621792, 100.0, 1.0
229551.271812833, 229551.721879042, 100.0, 1.0
229551.23855525, 229552.038624917, -5.0, 4.0
229552.055173833, 229552.155100125, -5.0, 4.0
229552.771741917, 229552.937235083, -5.0, 4.0
229553.338729292, 229553.537412458, 3.16750049591064, 4.0
229554.155325875, 229554.220732458, -5.0, 4.0
229554.338925458, 229554.404044333, -5.0, 4.0
229555.12226075, 229556.722100625, 9.10750007629395, 4.0
229557.78778525, 229557.854336792, -5.0, 4.0
229557.972557583, 229558.022390542, -5.0, 4.0
229558.122663083, 229558.221171542, -5.0, 4.0
229558.32241725, 229558.372516542, -5.0, 4.0
229558.455869792, 229558.55464125, -5.0, 4.0
229558.655663292, 229558.737762292, -5.0, 4.0
229558.872384333, 229558.905469917, -5.0, 4.0
229559.272718, 229559.354538375, -5.0, 4.0
229559.491618708, 229559.555853333, -5.0, 4.0
229559.672315083, 229559.737875042, -5.0, 4.0
229560.422514667, 229560.705660167, 100.0, 1.0
229560.355748667, 229561.104497833, -5.0, 4.0
229561.422496583, 229562.738002917, 20.0799999237061, 4.0
229563.3059215, 229563.387992917, -5.0, 4.0
229563.889419625, 229565.621731542, 17.1100006103516, 4.0
229566.18943375, 229566.255956167, -5.0, 4.0
229566.639309583, 229567.02293725, 3.25, 4.0
229567.889654792, 229569.90531825, 14.0574989318848, 4.0
229570.423176417, 229570.488626542, -5.0, 4.0
229570.839964958, 229573.172111833, 17.0275001525879, 4.0
229573.723406042, 229573.805490125, -5.0, 4.0
229573.873491083, 229573.93886775, -5.0, 4.0
229574.306682083, 229574.388808375, -5.0, 4.0
229574.740300458, 229575.405450958, 8.03500080108643, 4.0
229576.190443917, 229577.539335292, 19.5025005340576, 4.0
229578.707068667, 229579.340463583, 1.26999998092651, 4.0
229579.807020583, 229579.905795292, -5.0, 4.0
229579.990675875, 229580.055799917, -5.0, 4.0
229580.457168333, 229581.072589958, 11.2525005340576, 4.0
229582.174004583, 229583.922734958, 17.0275001525879, 4.0
229584.457426125, 229584.540738, -5.0, 4.0
229584.607521458, 229584.722783167, -5.0, 4.0
229584.790822042, 229584.872700083, -5.0, 4.0
229585.623847792, 229586.340609417, 1.10500001907349, 4.0
229587.224093792, 229588.124325792, 11.0874996185303, 4.0
229588.991036167, 229589.157573042, 100.0, 1.0
229588.991036167, 229589.524373125, 100.0, 1.0
229588.940914875, 229589.806437333, -5.0, 4.0
229590.207675458, 229590.356594917, -5.0, 4.0
229590.7911285, 229590.973076167, 0.0325002670288086, 4.0
229591.507760208, 229591.574188875, -5.0, 4.0
229591.674454167, 229591.72426375, -5.0, 4.0
229592.324715375, 229593.05665, 17.3575000762939, 4.0
229593.757906583, 229593.823343458, -5.0, 4.0
229593.94169425, 229593.973572375, -5.0, 4.0
229594.1247915, 229594.173369958, -5.0, 4.0
229594.258314917, 229594.30693625, -5.0, 4.0
229594.791482542, 229594.890124125, -5.0, 4.0
229595.007696333, 229595.089871458, -5.0, 4.0
229595.257764667, 229595.339920708, -5.0, 4.0
229595.457925042, 229595.491520667, -5.0, 4.0
229596.291169167, 229597.256929792, 20.3274993896484, 4.0
229598.041634292, 229599.158628542, 4.73499965667725, 4.0
229599.758492042, 229599.841640792, -5.0, 4.0
229599.941714417, 229600.023866417, -5.0, 4.0
229600.108659625, 229600.191490917, -5.0, 4.0
229600.341768292, 229600.440645708, -5.0, 4.0
229600.608426875, 229600.690487042, -5.0, 4.0
229601.075317625, 229601.675274792, 6.05500030517578, 4.0
229602.358674583, 229602.441881125, -5.0, 4.0
229602.541866375, 229602.640584708, -5.0, 4.0
229602.72559225, 229602.773933958, -5.0, 4.0
229602.925382917, 229602.990671375, -5.0, 4.0
229603.091983792, 229603.157361, -5.0, 4.0
229603.325591917, 229603.423953, -5.0, 4.0
229603.8252645, 229603.908718333, -5.0, 4.0
229604.008736833, 229604.107430083, -5.0, 4.0
229604.525559458, 229605.275234208, -0.132500171661377, 4.0
229605.842048583, 229605.924215667, -5.0, 4.0
229606.025875125, 229606.091000917, -5.0, 4.0
229606.808906833, 229607.224263583, 5.47749996185303, 4.0
229608.958229542, 229609.007772125, -5.0, 4.0
229609.125898292, 229609.157804458, -5.0, 4.0
229609.292734792, 229609.357786792, -5.0, 4.0
229609.609141208, 229609.691075583, -5.0, 4.0
229609.775467792, 229609.857826333, -5.0, 4.0
229610.209134292, 229610.409207333, 0.197499752044678, 4.0
229611.14263925, 229612.84140925, 21.3999996185303, 4.0
229613.526054417, 229613.574704958, -5.0, 4.0
229613.65943975, 229613.726190208, -5.0, 4.0
229613.826222417, 229613.874807792, -5.0, 4.0
229614.009344208, 229614.058205792, -5.0, 4.0
229614.242802625, 229614.326001708, -5.0, 4.0
229614.942659042, 229615.724897, 23.0500011444092, 4.0
229617.15825475, 229617.22491375, -5.0, 4.0
229617.476205208, 229617.542805, -5.0, 4.0
229617.6265225, 229617.692974958, -5.0, 4.0
229617.776252292, 229617.858403, -5.0, 4.0
229618.042941667, 229618.109621667, -5.0, 4.0
229618.24310475, 229618.291793375, -5.0, 4.0
229618.959673958, 229620.10979225, 3.33249950408936, 4.0
229620.693092833, 229620.776347708, -5.0, 4.0
229620.876661625, 229620.9752945, -5.0, 4.0
229621.026653, 229621.109964667, -5.0, 4.0
229621.193333583, 229621.276435792, -5.0, 4.0
229621.462309375, 229621.525283167, -5.0, 4.0
229622.09324975, 229623.708692375, 15.0475006103516, 4.0
229624.3600065, 229624.458863417, -5.0, 4.0
229624.526869375, 229624.60885625, -5.0, 4.0
229624.660086833, 229624.826619292, -5.0, 4.0
229625.143370125, 229625.242048875, -5.0, 4.0
229625.376937958, 229625.442097583, -5.0, 4.0
questioning the wisdom of the courts, 180, false, 3
229628.743616333, 229630.025805958, 18.1000003814697, 4.0
229630.560537375, 229631.993900583, 2.75500011444092, 4.0
229632.710622208, 229632.7925385, -5.0, 4.0
229632.846453625, 229632.909323, -5.0, 4.0
229633.860872333, 229634.676126542, 13.5625, 4.0
229635.24410525, 229635.327191708, 100.0, 1.0
229635.210707292, 229635.676250333, -5.0, 4.0
229635.794163208, 229635.9274775, 100.0, 1.0
229635.794163208, 229636.52749325, 100.0, 1.0
229635.794163208, 229636.876350333, -5.0, 4.0
229637.3107735, 229638.342913833, 17.2749996185303, 4.0
229638.910928167, 229638.977573375, -5.0, 4.0
229639.311097667, 229640.343189542, 21.3175010681152, 4.0
229640.844592792, 229640.99453425, 2.01250028610229, 4.0
229641.927832917, 229642.344560542, 3.16750049591064, 4.0
229643.211363, 229643.276689083, -5.0, 4.0
229643.378263375, 229643.428074208, -5.0, 4.0
229643.511172667, 229643.627905542, -5.0, 4.0
229643.994578042, 229644.093294167, -5.0, 4.0
229644.311275875, 229644.411262542, -5.0, 4.0
229644.928075208, 229645.994739667, 15.1300010681152, 4.0
229646.578025958, 229646.676811167, -5.0, 4.0
229646.744840417, 229646.811702458, -5.0, 4.0
229646.94505225, 229647.043552958, -5.0, 4.0
229647.095031, 229647.260400958, -5.0, 4.0
229647.528131083, 229647.626872583, -5.0, 4.0
229647.711643167, 229647.760284875, -5.0, 4.0
229648.211606958, 229648.276989917, -5.0, 4.0
229648.811675, 229649.660415958, 17.3575000762939, 4.0
229650.295057833, 229650.360149708, -5.0, 4.0
229650.461815458, 229650.527135917, -5.0, 4.0
229650.611819333, 229650.645177667, -5.0, 4.0
229651.061694917, 229651.143786042, -5.0, 4.0
229651.461869542, 229652.093770708, 8.19999980926514, 4.0
229652.528544, 229652.610606042, -5.0, 4.0
229653.561904917, 229653.944012167, -5.0, 4.0
229655.462127583, 229656.7944045, 13.2325000762939, 4.0
229657.362184167, 229657.444265083, -5.0, 4.0
229657.528949375, 229657.59427975, -5.0, 4.0
229657.6623855, 229657.744241875, -5.0, 4.0
229657.912368375, 229657.994412792, -5.0, 4.0
229658.412569708, 229659.027606625, 16.2024993896484, 4.0
229659.66229475, 229659.761141042, -5.0, 4.0
229659.845707583, 229659.929044667, -5.0, 4.0
229660.029371042, 229660.111061625, -5.0, 4.0
229660.279015625, 229660.344533167, -5.0, 4.0
229661.112554458, 229661.727883083, 6.13749980926514, 4.0
229662.529213708, 229663.628133792, 14.2224998474121, 4.0
229664.162591417, 229664.278060167, -0.627500057220459, 4.0
229664.629280958, 229665.2960945, 4.07499980926514, 4.0
229665.962802625, 229666.0293915, -5.0, 4.0
229666.112794292, 229666.178263167, -5.0, 4.0
229666.32983, 229666.394821792, -5.0, 4.0
229666.546282458, 229666.596180375, -5.0, 4.0
229666.74608925, 229666.828213708, -5.0, 4.0
229666.946490542, 229666.996238625, -5.0, 4.0
229667.229517417, 229667.311513292, -5.0, 4.0
229667.579399583, 229667.66149425, -5.0, 4.0
229669.3629605, 229669.813097333, 1.02250003814697, 4.0
229670.229665667, 229670.312935167, -5.0, 4.0
229670.3965045, 229670.478557542, -5.0, 4.0
229670.89646525, 229672.37869075, 18.0174999237061, 4.0
229673.496475292, 229673.546504625, -5.0, 4.0
229673.646617667, 229673.695278875, -5.0, 4.0
229673.979745375, 229674.045314042, -5.0, 4.0
229674.4134245, 229674.978627125, 7.04500007629395, 4.0
229675.546684375, 229675.596732417, -5.0, 4.0
229675.713464333, 229675.763480083, -5.0, 4.0
229675.91340325, 229675.962085125, -5.0, 4.0
229676.213463208, 229676.295494958, -5.0, 4.0
229676.696902917, 229677.213451833, 4.23999977111816, 4.0
229677.646888875, 229677.730108125, -5.0, 4.0
229677.830137333, 229677.912224083, -5.0, 4.0
229677.996919708, 229678.078768875, -5.0, 4.0
229678.146798583, 229678.245783333, -5.0, 4.0
229678.397001375, 229678.495667958, -5.0, 4.0
229678.980322792, 229680.130641833, 3.00250053405762, 4.0
229681.047086375, 229681.112513792, -5.0, 4.0
229681.230488917, 229681.31245625, -5.0, 4.0
229681.83049475, 229684.079470417, 20.1625003814697, 4.0
229684.497162458, 229684.579324333, -5.0, 4.0
229684.697497875, 229684.779472833, -5.0, 4.0
229684.847331917, 229684.946055667, -5.0, 4.0
229685.113988708, 229685.196123667, -5.0, 4.0
229685.797360042, 229686.497521042, 6.13749980926514, 4.0
229687.364196958, 229688.67952525, 19.1725006103516, 4.0
229689.230816917, 229689.329633, -5.0, 4.0
229689.697666958, 229690.864502458, 3.00250053405762, 4.0
229691.381051542, 229691.464341417, -5.0, 4.0
229691.564382042, 229691.647814083, -5.0, 4.0
229691.714532125, 229691.796450458, -5.0, 4.0
229691.881144417, 229691.929935, -5.0, 4.0
229692.497854333, 229693.163365917, 14.5524997711182, 4.0
229693.614521583, 229693.697846167, -5.0, 4.0
229694.06467125, 229694.813462625, 9.02500057220459, 4.0
229695.781285417, 229695.863380417, -5.0, 4.0
229695.948241458, 229696.03009475, -5.0, 4.0
229696.064734583, 229696.213478667, -5.0, 4.0
229696.281353, 229696.346923083, -5.0, 4.0
229696.381444583, 229696.446897417, -5.0, 4.0
229696.498241667, 229696.54821475, -5.0, 4.0
229696.848125417, 229696.89684075, -5.0, 4.0
229697.114744167, 229697.180048542, -5.0, 4.0
229697.848197708, 229698.847009083, 16.4499988555908, 4.0
229699.665003125, 229699.764993583, -5.0, 4.0
229699.881887125, 229699.946996625, -5.0, 4.0
229700.031894125, 229700.097024333, -5.0, 4.0
229700.598399, 229701.415085333, 4.15750026702881, 4.0
229702.065192208, 229702.130543333, -5.0, 4.0
229702.231878958, 229702.280466458, -5.0, 4.0
229702.432008333, 229702.465274958, -5.0, 4.0
229702.6151715, 229702.697140458, -5.0, 4.0
229702.748550375, 229702.780531375, -5.0, 4.0
229702.865357625, 229702.898559042, -5.0, 4.0
229703.131898583, 229703.163844625, -5.0, 4.0
229706.698943917, 229707.032119083, 1.59999990463257, 4.0
229708.198866042, 229708.28087975, -5.0, 4.0
229708.38228825, 229708.430977292, -5.0, 4.0
229709.515658417, 229710.997782, 24.2875003814697, 4.0
229711.715678958, 229711.798990042, -5.0, 4.0
229711.899119292, 229711.9477775, -5.0, 4.0
229712.015810167, 229712.065715292, -5.0, 4.0
229712.099138667, 229712.164537875, -5.0, 4.0
229712.199106708, 229712.26575325, -5.0, 4.0
229712.29904925, 229712.34917275, -5.0, 4.0
229713.199377375, 229713.864736708, 6.38500022888184, 4.0
229714.532753792, 229714.5993305, -5.0, 4.0
229714.699292, 229714.782724458, -5.0, 4.0
229714.882767625, 229714.9647225, -5.0, 4.0
229715.032744167, 229715.165941708, -5.0, 4.0
229715.415995, 229715.499358167, -5.0, 4.0
229715.78263925, 229715.864638167, -5.0, 4.0
229716.032811708, 229716.11467325, -5.0, 4.0
229716.766169833, 229717.182865958, 4.15750026702881, 4.0
229717.816095792, 229717.8993995, -5.0, 4.0
229717.999915917, 229718.049627833, -5.0, 4.0
229718.099671, 229718.249568458, -5.0, 4.0
229718.299478833, 229718.349789542, -5.0, 4.0
229718.599535667, 229718.682809958, -5.0, 4.0
229718.800114833, 229718.848236208, -5.0, 4.0
229720.183042292, 229720.549732792, 0.362499713897705, 4.0
229720.932928958, 229721.0163835, -5.0, 4.0
229721.116461875, 229721.16512225, -5.0, 4.0
229722.183109125, 229722.499881333, 2.25999975204468, 4.0
229723.049777958, 229723.115160583, -5.0, 4.0
229723.20002825, 229723.248650083, -5.0, 4.0
229723.4165965, 229723.449871667, -5.0, 4.0
229724.383344042, 229725.033252708, 10.0150003433228, 4.0
229725.983417875, 229726.032094875, -5.0, 4.0
229726.800109583, 229726.849990458, -5.0, 4.0
229726.983682042, 229727.066665542, -5.0, 4.0
229727.283309333, 229727.417110833, -5.0, 4.0
229727.500201375, 229727.566875625, -5.0, 4.0
229727.6836895, 229727.79903, -5.0, 4.0
229727.883484833, 229727.950276208, -5.0, 4.0
229728.016819542, 229728.08351, -5.0, 4.0
229728.11681175, 229728.166738, -5.0, 4.0
229728.5335325, 229728.615518833, -5.0, 4.0
229729.166986875, 229729.350088875, 100.0, 1.0
229730.250200958, 229730.832441667, 15.0475006103516, 4.0
229731.650240375, 229731.715789333, -5.0, 4.0
229732.7671695, 229733.03248325, -5.0, 4.0
229734.233890958, 229735.549405208, 20.0799999237061, 4.0
229736.617666208, 229738.250771833, 15.2950000762939, 4.0
229738.834158958, 229738.91631125, -5.0, 4.0
229739.017512458, 229739.067603292, -5.0, 4.0
229739.167532792, 229739.232903917, -5.0, 4.0
229739.484237833, 229739.5828685, -5.0, 4.0
229739.967401958, 229740.050896708, -5.0, 4.0
229740.767778333, 229742.849963042, 23.0500011444092, 4.0
229743.417719583, 229743.50107975, -5.0, 4.0
229743.584728958, 229743.64992, -5.0, 4.0
229743.717929375, 229743.767852375, -5.0, 4.0
229743.801296833, 229743.850055792, -5.0, 4.0
229743.901162917, 229743.967879667, -5.0, 4.0
229744.017823583, 229744.083264667, -5.0, 4.0
229744.951289833, 229745.80013025, 20.1625003814697, 4.0
229746.434794083, 229746.50134825, -5.0, 4.0
229746.601361208, 229746.666708125, -5.0, 4.0
229746.73480575, 229746.784921542, -5.0, 4.0
do you like to shop on sunday, 112, false, 4
229749.585046208, 229750.100272125, 3.00250053405762, 4.0
229750.81798875, 229750.884637417, -5.0, 4.0
229750.985049708, 229751.067054708, -5.0, 4.0
229751.151674583, 229751.217095417, -5.0, 4.0
229751.534847625, 229751.634924208, -5.0, 4.0
229753.001933542, 229754.200884792, 16.0375003814697, 4.0
229754.735228542, 229754.833956917, -5.0, 4.0
229754.901993333, 229754.967265292, -5.0, 4.0
229755.501832083, 229758.0021615, 3.08500003814697, 4.0
229758.701967042, 229758.80203325, -5.0, 4.0
229758.885662667, 229758.967469333, -5.0, 4.0
229759.552236792, 229760.867747958, 23.0500011444092, 4.0
229761.552380625, 229761.619006667, -5.0, 4.0
229761.70238975, 229761.767752292, -5.0, 4.0
229762.119375167, 229763.318250583, 15.2950000762939, 4.0
229763.852635667, 229763.867786583, -5.0, 4.0
229764.869311458, 229765.034559125, -0.792500019073486, 4.0
229765.919579042, 229766.069298042, 100.0, 1.0
229765.919579042, 229766.469381583, 100.0, 1.0
229765.885910875, 229766.685990917, -5.0, 4.0
229767.019243625, 229767.668003292, 14.1399993896484, 4.0
229768.202706083, 229768.284876167, -5.0, 4.0
229768.3698755, 229768.419595833, -5.0, 4.0
229769.152867833, 229770.102851208, 18.1824989318848, 4.0
229770.5696215, 229770.651673667, -5.0, 4.0
229770.736333417, 229770.818286333, -5.0, 4.0
229770.903132, 229770.969632667, -5.0, 4.0
229771.153002583, 229771.219767, -5.0, 4.0
229771.453022417, 229771.551705833, -5.0, 4.0
229771.919761, 229772.069689292, 1.02250003814697, 4.0
229772.5196605, 229772.635134292, -5.0, 4.0
229772.703470292, 229772.786477542, -5.0, 4.0
229773.803175917, 229774.619871958, 10.1800003051758, 4.0
229775.918728958, 229776.001968625, -5.0, 4.0
229776.103370083, 229776.186748333, -5.0, 4.0
229776.26989075, 229776.335157333, -5.0, 4.0
229776.703241, 229776.802007167, -5.0, 4.0
229777.153382375, 229778.5355925, 10.0150003433228, 4.0
229779.30358775, 229780.635814625, 9.02500057220459, 4.0
229781.220287583, 229781.286925792, -5.0, 4.0
229781.386977333, 229781.4705905, -5.0, 4.0
229781.553822875, 229781.602376042, -5.0, 4.0
229781.837164417, 229781.91905575, -5.0, 4.0
229782.220532542, 229782.837037458, 1.02250003814697, 4.0
229783.437091917, 229783.520285583, -5.0, 4.0
229783.603856042, 229783.670512042, -5.0, 4.0
229783.787268667, 229783.853874792, -5.0, 4.0
229783.970482333, 229784.069371375, -5.0, 4.0
229784.123026708, 229784.1704935, -5.0, 4.0
229784.470428917, 229784.602624542, -0.957499980926514, 4.0
229784.987309083, 229785.170404292, 100.0, 1.0
229784.987309083, 229785.519530333, -5.0, 4.0
229785.820464667, 229786.20394675, 6.05500030517578, 4.0
229787.103962792, 229787.18606125, -5.0, 4.0
229787.270868667, 229787.352804042, -5.0, 4.0
229787.437466792, 229787.51945525, -5.0, 4.0
229787.753975292, 229787.852791792, -5.0, 4.0
229788.204154375, 229788.386332875, 1.10500001907349, 4.0
229788.854094708, 229788.937384917, -5.0, 4.0
229789.020884667, 229789.119685542, -5.0, 4.0
229789.637547625, 229791.404344208, 19.0900001525879, 4.0
229792.020965042, 229792.103053875, -5.0, 4.0
229792.53789375, 229793.719711583, 14.2224998474121, 4.0
229794.221158, 229794.303115917, -5.0, 4.0
229794.404518333, 229794.453189875, -5.0, 4.0
229795.12130375, 229795.837941167, 1.02250003814697, 4.0
229796.387889667, 229796.503447542, -5.0, 4.0
229796.588173708, 229796.653337833, -5.0, 4.0
229797.188265583, 229798.620240833, 18.0174999237061, 4.0
229799.154844458, 229799.253587583, -5.0, 4.0
229799.821516083, 229800.687018042, 9.02500057220459, 4.0
229801.171615292, 229801.270283, -5.0, 4.0
229801.571692875, 229803.737514958, 14.3049983978271, 4.0
229804.205049708, 229804.288422375, -5.0, 4.0
229804.38871625, 229804.453842792, -5.0, 4.0
229804.77230075, 229805.737376792, 15.0475006103516, 4.0
229806.205192083, 229806.288347417, -5.0, 4.0
229807.088767833, 229807.655453625, 0.0325002670288086, 4.0
229808.13879075, 229808.238645917, -5.0, 4.0
229808.305608, 229808.3874465, -5.0, 4.0
229808.772112292, 229809.720955333, 15.1300010681152, 4.0
229810.389142375, 229811.021166958, 10.0150003433228, 4.0
229811.789136125, 229811.854348542, -5.0, 4.0
229811.955633375, 229812.005675583, -5.0, 4.0
229812.139384667, 229812.204436542, -5.0, 4.0
229812.239194167, 229812.30574325, -5.0, 4.0
229812.322333375, 229812.421246583, -5.0, 4.0
229812.72233325, 229812.837820833, -5.0, 4.0
229813.005633458, 229813.104370875, -5.0, 4.0
229813.472440542, 229813.537800083, -5.0, 4.0
229814.089224625, 229814.322466958, -0.957499980926514, 4.0
229815.272454208, 229815.35439175, -5.0, 4.0
229815.438917583, 229815.504362542, -5.0, 4.0
229816.07257675, 229817.488061917, 17.0275001525879, 4.0
229818.189405417, 229818.288210833, -5.0, 4.0
229818.372844958, 229818.439638917, -5.0, 4.0
