do not walk too quickly, 0, false, 1
do not walk too quickly, 94, false, 1
211795.178947292, 211795.228827125, -5.0, 4.0
211795.328921458, 211795.395545917, -5.0, 4.0
211796.945589833, 211797.027598542, -0.957499980926514, 4.0
211797.745692833, 211797.810968917, -5.0, 4.0
211797.895737125, 211797.961031333, -5.0, 4.0
211798.929095292, 211799.645818333, 13.4799995422363, 4.0
211800.212373792, 211800.262349875, -5.0, 4.0
211800.395856, 211800.445687125, -5.0, 4.0
211800.545752542, 211800.611158917, -5.0, 4.0
211800.695657125, 211800.778955458, -5.0, 4.0
211801.362330792, 211801.79444375, 11.0874996185303, 4.0
211802.811354, 211802.862657292, -5.0, 4.0
211802.962747458, 211803.029466042, -5.0, 4.0
211803.1126915, 211803.177970542, -5.0, 4.0
211803.24604275, 211803.312562708, -5.0, 4.0
211803.379302125, 211803.461530042, -5.0, 4.0
211803.512777333, 211803.594771417, -5.0, 4.0
211805.446184875, 211805.544744042, 0.279999732971191, 4.0
211806.112937333, 211806.162804083, -5.0, 4.0
211806.262849083, 211806.327994667, -5.0, 4.0
211807.229633667, 211807.878249292, 11.2525005340576, 4.0
211808.729661458, 211808.795075208, -5.0, 4.0
211808.879758417, 211808.946462375, -5.0, 4.0
211809.0130955, 211809.079742667, -5.0, 4.0
211809.146406167, 211809.228515708, -5.0, 4.0
211809.279696917, 211809.361781958, -5.0, 4.0
211809.413078792, 211809.478408875, -5.0, 4.0
211809.929680167, 211809.995154042, -5.0, 4.0
211810.063190833, 211810.128477958, -5.0, 4.0
211810.77989925, 211811.795100667, 20.0799999237061, 4.0
211812.813445667, 211814.295484958, 17.1100006103516, 4.0
211814.996807167, 211815.063355917, -5.0, 4.0
211815.896974458, 211816.045823, 2.25999975204468, 4.0
211816.530155792, 211816.59564325, -5.0, 4.0
211816.680338625, 211816.74564875, -5.0, 4.0
211817.397163958, 211818.445822625, 16.7800006866455, 4.0
211819.197002833, 211819.263637542, -5.0, 4.0
211819.347016917, 211819.412480625, -5.0, 4.0
211819.480639333, 211819.562411458, -5.0, 4.0
211819.613696333, 211819.695928958, -5.0, 4.0
211819.747186125, 211819.829265667, -5.0, 4.0
211819.899624125, 211819.947054958, -5.0, 4.0
211820.880498083, 211821.297206333, 3.08500003814697, 4.0
211822.013960208, 211822.079378167, -5.0, 4.0
211822.147374083, 211822.212812875, -5.0, 4.0
211822.280605458, 211822.362735625, -5.0, 4.0
