popularity is desired by all, 0, false, 1
popularity is desired by all, 117, false, 1
203631.265614958, 203631.364308167, -5.0, 4.0
203632.432405583, 203633.964621542, 10.0150003433228, 4.0
203634.799408333, 203634.898127833, -5.0, 4.0
203634.999232208, 203635.082585333, -5.0, 4.0
203635.199450917, 203635.28126575, -5.0, 4.0
203635.549212583, 203635.664586375, -5.0, 4.0
203637.149314667, 203637.614837417, 6.13749980926514, 4.0
203639.266156292, 203640.816383833, 5.23000049591064, 4.0
203641.981783208, 203642.081727625, -5.0, 4.0
203642.233181792, 203642.31505675, -5.0, 4.0
203642.549639208, 203642.632963583, -5.0, 4.0
203644.683150583, 203645.948457458, 23.0500011444092, 4.0
203648.182023958, 203648.282085458, -5.0, 4.0
203648.400181542, 203648.498850458, -5.0, 4.0
203648.600095708, 203648.698815583, -5.0, 4.0
203650.633608625, 203650.983644833, 3.25, 4.0
203651.800192583, 203651.89897375, -5.0, 4.0
203652.03361275, 203652.133519375, -5.0, 4.0
203652.267182917, 203652.333526708, -5.0, 4.0
203652.467112167, 203652.532603, -5.0, 4.0
203652.83366175, 203652.900237917, -5.0, 4.0
203656.117232417, 203656.267215875, -0.957499980926514, 4.0
203656.783948292, 203656.866073583, -5.0, 4.0
203657.019800917, 203657.050596042, -5.0, 4.0
203657.934062875, 203658.399827458, 7.375, 4.0
203660.900879333, 203661.084103125, 0.197499752044678, 4.0
203661.534071958, 203661.633077708, -5.0, 4.0
203661.751082625, 203661.817512625, -5.0, 4.0
203662.834314875, 203662.9343065, -0.957499980926514, 4.0
203664.551211708, 203665.483280542, 18.1824989318848, 4.0
203666.001100458, 203666.099943167, -5.0, 4.0
203666.201184333, 203666.284669958, -5.0, 4.0
203666.401220583, 203666.499976, -5.0, 4.0
203667.101373958, 203667.416830833, 5.3125, 4.0
203668.0512125, 203668.150074125, -5.0, 4.0
203668.285105583, 203668.366857458, -5.0, 4.0
203668.517961625, 203668.601343667, -5.0, 4.0
203669.668203875, 203669.868112833, 1.10500001907349, 4.0
203670.368127292, 203670.450351917, -5.0, 4.0
203670.5683955, 203670.6335645, -5.0, 4.0
203671.668303333, 203672.783662583, 18.1824989318848, 4.0
203673.218226542, 203673.317039458, -5.0, 4.0
203673.435255292, 203673.516969833, -5.0, 4.0
203673.618441875, 203673.685248583, -5.0, 4.0
203675.001817458, 203675.417409708, 8.28250026702881, 4.0
203675.885084333, 203675.9839045, -5.0, 4.0
203676.702033958, 203676.96717925, 11.0050010681152, 4.0
203678.18542125, 203678.301958292, 100.0, 1.0
203678.133914417, 203678.484220125, -5.0, 4.0
203678.985489583, 203679.635331542, 3.16750049591064, 4.0
203680.502067, 203680.600948042, -5.0, 4.0
203680.786072042, 203680.867533667, -5.0, 4.0
203680.985764292, 203681.068783708, -5.0, 4.0
203681.202118458, 203681.268855792, -5.0, 4.0
203681.535689583, 203681.650928333, -5.0, 4.0
203682.8357995, 203683.017712083, 0.0325002670288086, 4.0
203683.502318042, 203683.569030792, -5.0, 4.0
203683.685962292, 203683.784497417, -5.0, 4.0
203685.13595, 203686.384678958, 19.0075016021729, 4.0
203686.935905667, 203687.01801325, -5.0, 4.0
203687.153036417, 203687.234648333, -5.0, 4.0
203687.33616725, 203687.417999125, -5.0, 4.0
203687.48594675, 203687.569278625, -5.0, 4.0
203687.652735167, 203687.751511083, -5.0, 4.0
203687.852739292, 203687.934742708, -5.0, 4.0
203688.185972583, 203688.26805175, -5.0, 4.0
203689.7694005, 203690.352806917, 7.21000003814697, 4.0
203690.902804667, 203691.001625958, -5.0, 4.0
203691.102854667, 203691.184922875, -5.0, 4.0
203691.286453208, 203691.36836025, -5.0, 4.0
203691.602780833, 203691.701665042, -5.0, 4.0
203693.153041042, 203694.386399208, 14.7175006866455, 4.0
203696.319890458, 203696.852093708, 11.0874996185303, 4.0
203697.36988825, 203697.45318625, -5.0, 4.0
203697.686519375, 203697.785369583, -5.0, 4.0
203697.903483292, 203698.001998083, -5.0, 4.0
203698.870096333, 203699.153383083, 4.23999977111816, 4.0
203699.853312583, 203699.93554775, -5.0, 4.0
203700.020039167, 203700.119792667, -5.0, 4.0
203700.236439542, 203700.319863292, -5.0, 4.0
203700.469944083, 203700.552401417, -5.0, 4.0
203700.720257708, 203700.81887725, -5.0, 4.0
203702.186958917, 203702.336741125, 1.02250003814697, 4.0
203703.6037495, 203703.802494292, -5.0, 4.0
203704.48706275, 203704.552458458, -5.0, 4.0
203710.687549875, 203711.870848875, 17.1925010681152, 4.0
203712.387484708, 203712.486302083, -5.0, 4.0
203712.587417583, 203712.686317292, -5.0, 4.0
203712.7876835, 203712.854373958, -5.0, 4.0
203712.95432575, 203713.05300275, -5.0, 4.0
203713.237546167, 203713.319774375, -5.0, 4.0
203714.887718458, 203715.671221083, 4.48750019073486, 4.0
203716.254477417, 203716.353297958, -5.0, 4.0
203716.454741917, 203716.538031917, -5.0, 4.0
203716.637829792, 203716.736574417, -5.0, 4.0
203716.821394875, 203716.887959458, -5.0, 4.0
203716.987830292, 203717.054514625, -5.0, 4.0
203717.171291625, 203717.253270417, -5.0, 4.0
203721.238289625, 203721.488042833, 100.0, 1.0
203721.138279917, 203721.82037125, -5.0, 4.0
203723.004934542, 203724.021816417, 5.14750003814697, 4.0
203724.70503675, 203724.788300792, -5.0, 4.0
203724.972079792, 203725.070522708, -5.0, 4.0
203725.238574708, 203725.320551375, -5.0, 4.0
203725.605129042, 203725.705009333, -5.0, 4.0
203725.905161167, 203726.053876583, -5.0, 4.0
203726.222117375, 203726.320569125, -5.0, 4.0
203726.538515042, 203726.6207415, -5.0, 4.0
203727.288561417, 203727.403955083, -5.0, 4.0
203727.671844958, 203727.770660375, -5.0, 4.0
203729.88874875, 203730.520967292, 6.13749980926514, 4.0
203732.055567292, 203733.405653625, 10.0150003433228, 4.0
203734.471109042, 203734.554342208, -5.0, 4.0
203734.672514125, 203734.754676625, -5.0, 4.0
203734.872479625, 203734.955709875, -5.0, 4.0
203735.05578475, 203735.154502625, -5.0, 4.0
203735.505807208, 203735.605699167, -5.0, 4.0
203735.85582075, 203735.955825917, -5.0, 4.0
203736.089123833, 203736.171169167, -5.0, 4.0
203736.306152917, 203736.372472458, -5.0, 4.0
203737.989278875, 203738.387942625, 6.05500030517578, 4.0
203739.005877417, 203739.104718458, -5.0, 4.0
203739.206288542, 203739.304722417, -5.0, 4.0
203739.38943175, 203739.488207167, -5.0, 4.0
203739.556110417, 203739.639472125, -5.0, 4.0
203739.722671542, 203739.8213985, -5.0, 4.0
203739.922726167, 203740.021472917, -5.0, 4.0
you should visit a doctor, 130, false, 4
203745.756873708, 203746.855083042, 22.0599994659424, 4.0
203747.606587042, 203747.705288, -5.0, 4.0
203747.790154083, 203747.871947875, -5.0, 4.0
203747.97341075, 203748.05530725, -5.0, 4.0
203748.223070833, 203748.322053167, -5.0, 4.0
203749.523324417, 203750.372194875, 13.1499996185303, 4.0
203750.87339, 203750.955737042, -5.0, 4.0
203751.056917792, 203751.140018542, -5.0, 4.0
203751.240218875, 203751.322261458, -5.0, 4.0
203751.473505833, 203751.539087083, -5.0, 4.0
203752.823543542, 203753.555773333, 19.0075016021729, 4.0
203754.106843, 203754.239207042, -5.0, 4.0
203754.390510917, 203754.505770792, -5.0, 4.0
203754.673707292, 203754.772358583, -5.0, 4.0
203755.7070635, 203755.873716083, 0.197499752044678, 4.0
203756.340349958, 203756.422621542, -5.0, 4.0
