do you prefer a window seat, 0, false, 1
do you prefer a window seat, 81, false, 1
296024.331996083, 296024.532052375, 2.17750024795532, 4.0
296025.081938625, 296025.180731167, -5.0, 4.0
296025.532177667, 296026.198791, 13.1499996185303, 4.0
296026.73213775, 296026.815230667, -5.0, 4.0
296027.715628708, 296027.915528042, 2.09500026702881, 4.0
296028.548844458, 296028.64767375, -5.0, 4.0
296029.7977025, 296030.015744042, -5.0, 4.0
296030.932408208, 296031.399071792, -5.0, 4.0
296031.76584275, 296032.232462875, -5.0, 4.0
296033.349320792, 296033.599259667, 1.10500001907349, 4.0
296034.732653042, 296034.815893208, -5.0, 4.0
296035.716412625, 296036.149398042, 7.04500007629395, 4.0
296036.699500375, 296036.78271275, -5.0, 4.0
296036.882859542, 296036.964847667, -5.0, 4.0
296037.282903542, 296037.83163, 13.2325000762939, 4.0
296038.432832958, 296038.531627417, -5.0, 4.0
296038.649737958, 296038.699645583, -5.0, 4.0
296038.816552417, 296038.881702792, -5.0, 4.0
296039.182939583, 296039.931914958, 14.0574989318848, 4.0
296040.46634525, 296040.549723, -5.0, 4.0
296041.133145125, 296041.715330583, 19.0075016021729, 4.0
296042.316512458, 296042.398629542, -5.0, 4.0
296042.89997125, 296043.233242375, 3.08500003814697, 4.0
296043.86642975, 296043.93205375, -5.0, 4.0
296044.383407167, 296044.549991667, -0.792500019073486, 4.0
296045.199942917, 296045.282133583, -5.0, 4.0
296045.800100917, 296046.299904375, 11.1700000762939, 4.0
296046.983423667, 296047.100106542, -5.0, 4.0
296047.200488792, 296047.298954083, -5.0, 4.0
296047.717068083, 296048.249064042, 12.2424983978271, 4.0
296050.450426125, 296050.582484625, 0.115000247955322, 4.0
296051.7673865, 296052.250482083, 5.23000049591064, 4.0
296052.950455833, 296053.066000708, -5.0, 4.0
296053.167548667, 296053.250627708, -5.0, 4.0
296053.350526417, 296053.46607175, -5.0, 4.0
296053.883957792, 296054.517346292, 10.0975008010864, 4.0
296055.036467792, 296055.117249458, -5.0, 4.0
296055.650738083, 296055.967273125, 4.07499980926514, 4.0
296056.5174385, 296056.616153375, -5.0, 4.0
296056.700991875, 296056.816358833, -5.0, 4.0
296056.901037208, 296057.001320125, -5.0, 4.0
296057.117556708, 296057.217445917, -5.0, 4.0
296057.617541292, 296058.282924417, 11.2525005340576, 4.0
296058.950829625, 296059.049636458, -5.0, 4.0
296059.184619833, 296059.266361208, -5.0, 4.0
296059.784311417, 296060.083086917, -5.0, 4.0
296060.634387458, 296061.151224042, 4.07499980926514, 4.0
296062.784565958, 296062.851026917, 100.0, 1.0
296062.716528708, 296063.100071167, -5.0, 4.0
296063.617815125, 296064.284615958, 5.06500053405762, 4.0
296064.901302042, 296064.93457125, -5.0, 4.0
where can my little dog be, 56, false, 5
296069.051675875, 296069.5671135, 22.3074989318848, 4.0
296070.685228375, 296071.18542925, 8.19999980926514, 4.0
296072.301829708, 296072.701540875, 6.38500022888184, 4.0
296073.318155333, 296073.418169958, -5.0, 4.0
296073.485468208, 296073.585418, -5.0, 4.0
296073.90194375, 296074.817059708, 17.0275001525879, 4.0
296075.418649792, 296075.502016125, -5.0, 4.0
296075.935496292, 296076.385422875, 5.14750003814697, 4.0
296077.035453667, 296077.134245458, -5.0, 4.0
296078.068832083, 296078.2525235, 0.0325002670288086, 4.0
296079.93575575, 296080.352424667, 4.07499980926514, 4.0
296080.935657167, 296081.034606042, -5.0, 4.0
296081.519190208, 296081.802451417, 0.0325002670288086, 4.0
296082.352501458, 296082.467905042, -5.0, 4.0
