they might find your comment offensive, 139, char, 1
225311.458030917, 225312.491636833, 18.1000003814697, 4.0, s
225313.656915625, 225313.773718833, -5.0, 4.0, q
225313.892130167, 225313.99152175, -5.0, 4.0, t
225314.991879792, 225315.508467875, 6.05500030517578, 4.0, ti
225314.991879792, 225315.508467875, 6.05500030517578, 4.0, ta
225316.075046125, 225316.190739167, -5.0, 4.0, t
225316.291980417, 225316.375241875, -5.0, 4.0, tf
225316.47517425, 225316.573842292, -5.0, 4.0, te
225316.658605583, 225316.7584505, -5.0, 4.0, td
225316.82520575, 225316.925205417, -5.0, 4.0, tg
225317.075361792, 225317.175131792, -5.0, 4.0, tc
225317.541896917, 225317.657082125, -5.0, 4.0, th
225318.425320875, 225320.175260917, 3.57999992370605, 4.0, tha
225318.425320875, 225320.175260917, 3.57999992370605, 4.0, thc
225320.858788, 225320.942074167, -5.0, 4.0, th
225321.042145625, 225321.158662333, -5.0, 4.0, thb
225321.208837667, 225321.308875958, -5.0, 4.0, thd
225321.458736792, 225321.575491958, -5.0, 4.0, the
225322.608748917, 225323.12587825, 3.25, 4.0, thea
225322.608748917, 225323.12587825, 3.25, 4.0, thec
225323.725583292, 225323.807667292, -5.0, 4.0, the
225324.275742792, 225324.608991208, 2.01250028610229, 4.0, the a
225324.275742792, 225324.608991208, 2.01250028610229, 4.0, the b
225325.22577325, 225325.357757708, -5.0, 4.0, the a
225327.359279333, 225327.709250833, 1.10500001907349, 4.0, the aa
225327.359279333, 225327.709250833, 1.10500001907349, 4.0, the ab
225328.392506375, 225328.508030208, -5.0, 4.0, the a
225328.59274925, 225328.692570083, -5.0, 4.0, the ac
225329.276014542, 225329.559650958, 2.09500026702881, 4.0, the aca
225329.276014542, 225329.559650958, 2.09500026702881, 4.0, the acb
225329.992725792, 225330.075931667, -5.0, 4.0, the ac
225330.1595785, 225330.25814575, -5.0, 4.0, the acc
225331.109557458, 225331.676150125, 2.01250028610229, 4.0, the acca
