not quite so smart as you think, 0, false, 1
not quite so smart as you think, 89, false, 1
192125.883391917, 192126.715556292, 9.02500057220459, 4.0
192127.865371792, 192127.948847083, -5.0, 4.0
192129.333580167, 192130.298910583, 14.3049983978271, 4.0
192131.849097, 192131.932274042, -5.0, 4.0
192132.03360325, 192132.115831208, -5.0, 4.0
192132.783871917, 192134.465680083, 20.0799999237061, 4.0
192135.834131, 192137.049446917, 11.7474994659424, 4.0
192139.516231833, 192139.582824667, -5.0, 4.0
192141.551102667, 192142.284386958, 4.15750026702881, 4.0
192143.101067875, 192143.183089667, -5.0, 4.0
192143.267902417, 192143.333140083, -5.0, 4.0
192143.417780958, 192143.467483292, -5.0, 4.0
192143.984389292, 192144.067778083, -5.0, 4.0
192148.368116917, 192148.983558, 1.02250003814697, 4.0
192149.734755, 192149.816962667, -5.0, 4.0
192149.918337833, 192149.966897792, -5.0, 4.0
192151.385010458, 192151.950524917, 6.13749980926514, 4.0
192152.785100125, 192152.867171792, -5.0, 4.0
192152.9352885, 192153.017111125, -5.0, 4.0
192153.101787417, 192153.1671885, -5.0, 4.0
192154.235261292, 192155.434003208, 8.03500080108643, 4.0
192156.90203475, 192157.917217042, 18.1000003814697, 4.0
192158.535368292, 192158.617452708, -5.0, 4.0
192158.702269, 192158.767582125, -5.0, 4.0
192158.852280917, 192158.917473708, -5.0, 4.0
192160.185662667, 192161.918994833, 0.857499599456787, 4.0
192162.602530792, 192162.651096417, -5.0, 4.0
192162.769297083, 192162.817716542, -5.0, 4.0
192163.619167542, 192164.501090917, 18.2649993896484, 4.0
192165.335643208, 192165.434563333, -5.0, 4.0
192165.5026415, 192165.584701417, -5.0, 4.0
192166.252637083, 192166.901293333, 8.03500080108643, 4.0
192168.75448375, 192168.834789042, -5.0, 4.0
192169.552916167, 192170.038873917, 3.25, 4.0
192171.002673792, 192171.084956792, -5.0, 4.0
192171.153076875, 192171.234962958, -5.0, 4.0
192171.319763583, 192171.401762792, -5.0, 4.0
192171.486215083, 192171.551820042, -5.0, 4.0
192171.8862445, 192171.951752708, -5.0, 4.0
192175.169948, 192175.836610708, 1.10500001907349, 4.0
192177.03534, 192177.118660208, -5.0, 4.0
192177.220028625, 192177.286790583, -5.0, 4.0
192179.053430542, 192179.570203667, 1.92999982833862, 4.0
192182.152389333, 192182.235666, -5.0, 4.0
192182.336958125, 192182.402424292, -5.0, 4.0
192182.487328958, 192182.535620167, -5.0, 4.0
192184.903909583, 192186.702813167, 16.2024993896484, 4.0
192187.337586125, 192187.420618292, -5.0, 4.0
192187.504176667, 192187.569437667, -5.0, 4.0
192187.654118292, 192187.686142167, -5.0, 4.0
192188.554266958, 192189.136265167, 8.03500080108643, 4.0
192191.404319208, 192192.203104042, 14.1399993896484, 4.0
192193.255733542, 192193.337848667, -5.0, 4.0
192193.454403708, 192193.521244125, -5.0, 4.0
192193.637633875, 192193.704419917, -5.0, 4.0
192195.588069083, 192196.038015708, 5.3125, 4.0
192196.821176083, 192196.886691125, -5.0, 4.0
192196.9882935, 192197.0532935, -5.0, 4.0
192197.1381005, 192197.186619833, -5.0, 4.0
do not feel too bad about it, 101, false, 5
192217.122673875, 192217.72271825, 4.15750026702881, 4.0
192218.722554625, 192218.804871667, -5.0, 4.0
192218.889435042, 192218.954807917, -5.0, 4.0
192219.039451083, 192219.106154375, -5.0, 4.0
192219.339384625, 192219.40500375, -5.0, 4.0
192220.889541208, 192221.722875667, 15.2950000762939, 4.0
192224.089858125, 192224.489967292, 0.115000247955322, 4.0
192225.139814125, 192225.221848375, -5.0, 4.0
192225.306564792, 192225.371873625, -5.0, 4.0
192226.756736458, 192227.723264917, 14.0574989318848, 4.0
192228.822077, 192228.906655917, -5.0, 4.0
192228.990230625, 192229.073434458, -5.0, 4.0
192230.872374833, 192230.940259042, -5.0, 4.0
192231.473566167, 192232.922389792, -5.0, 4.0
192233.5403955, 192234.389196125, -5.0, 4.0
192235.373912167, 192236.122596792, 15.0475006103516, 4.0
192238.007360833, 192238.789434375, 20.1625003814697, 4.0
192239.690764, 192239.772726958, -5.0, 4.0
192241.390627833, 192241.757576083, 0.115000247955322, 4.0
192243.156278292, 192243.223037375, -5.0, 4.0
192243.341183125, 192243.374340833, -5.0, 4.0
192244.507580125, 192245.339949208, 6.22000026702881, 4.0
192245.974571125, 192246.5910735, 4.15750026702881, 4.0
192247.891418042, 192248.3580755, 0.115000247955322, 4.0
192248.874794542, 192249.024535417, 100.0, 1.0
192248.824641833, 192249.440190375, -5.0, 4.0
192249.674654917, 192249.79153225, 100.0, 1.0
192249.674654917, 192250.106547125, -5.0, 4.0
192250.374466792, 192250.491377375, 100.0, 1.0
192251.424496958, 192252.356968083, 5.06500053405762, 4.0
192253.373713583, 192253.441782667, -5.0, 4.0
192253.541618583, 192253.591675333, -5.0, 4.0
192253.725140917, 192253.757130792, -5.0, 4.0
192254.058253125, 192254.107133042, -5.0, 4.0
192254.29177725, 192254.34158725, -5.0, 4.0
192254.791640875, 192254.857214542, -5.0, 4.0
192255.675213708, 192256.207437917, 5.06500053405762, 4.0
192257.325221875, 192257.408851417, -5.0, 4.0
192257.491947917, 192257.55738225, -5.0, 4.0
192257.658703375, 192257.723974208, -5.0, 4.0
192258.025288875, 192258.123937583, -5.0, 4.0
192258.925399583, 192259.708765417, 4.07499980926514, 4.0
192260.242113125, 192260.340854125, -5.0, 4.0
192260.425720583, 192260.4909415, -5.0, 4.0
192260.575580417, 192260.657513, -5.0, 4.0
192260.742273458, 192260.807702458, -5.0, 4.0
192260.958876125, 192261.024326708, -5.0, 4.0
192261.142276792, 192261.174244125, -5.0, 4.0
192262.658975375, 192263.441175042, 12.1599998474121, 4.0
192264.392155375, 192264.4744405, -5.0, 4.0
192264.675618458, 192264.774419583, -5.0, 4.0
192265.592389583, 192267.059209708, -5.0, 4.0
192269.026080417, 192269.459178708, 1.10500001907349, 4.0
192271.024557, 192271.092460292, -5.0, 4.0
192271.19273525, 192271.274885042, -5.0, 4.0
192272.759660542, 192273.859892125, 18.1824989318848, 4.0
192274.592991917, 192274.675073125, -5.0, 4.0
192274.760249917, 192274.841761667, -5.0, 4.0
192274.928893542, 192275.008434792, -5.0, 4.0
192276.876303125, 192277.626559292, 15.0475006103516, 4.0
192278.860106208, 192279.725572833, 15.2950000762939, 4.0
192281.660293625, 192282.026959958, 2.01250028610229, 4.0
192282.676875917, 192282.742271875, -5.0, 4.0
192282.843541792, 192282.908956333, -5.0, 4.0
192284.177084833, 192284.677130167, 3.00250053405762, 4.0
192287.359203292, 192287.409253292, -5.0, 4.0
192288.2772165, 192288.7773645, 1.02250003814697, 4.0
192291.194269417, 192291.727524, 5.23000049591064, 4.0
192292.677426042, 192292.776182833, -5.0, 4.0
192292.861033167, 192292.926291083, -5.0, 4.0
192293.011005, 192293.093071917, -5.0, 4.0
192293.360901917, 192293.443057833, -5.0, 4.0
192294.677694417, 192295.027703125, 1.10500001907349, 4.0
192295.660991542, 192295.709788667, -5.0, 4.0
192295.811061, 192295.876515333, -5.0, 4.0
192296.761187042, 192297.177854458, 1.02250003814697, 4.0
192299.211568708, 192299.611150208, 2.09500026702881, 4.0
192300.228066792, 192300.293469333, -5.0, 4.0
192301.46150875, 192302.311538333, 14.2224998474121, 4.0
192302.961647542, 192303.060333042, -5.0, 4.0
192303.1451615, 192303.211761375, -5.0, 4.0
192305.178427333, 192306.560703292, 19.1725006103516, 4.0
192307.161722875, 192307.245205042, -5.0, 4.0
192307.328655625, 192307.41057825, -5.0, 4.0
192308.645451417, 192309.86083625, 16.8625011444092, 4.0
192310.795364708, 192310.878772333, -5.0, 4.0
192310.979128917, 192311.060919958, -5.0, 4.0
