the location of the crime, 0, false, 1
the location of the crime, 80, false, 1
240311.999481625, 240312.098262917, -5.0, 4.0
240313.066237042, 240313.366253917, 0.0325002670288086, 4.0
240314.416277833, 240315.016281167, 2.01250028610229, 4.0
240315.499640542, 240315.631651583, -5.0, 4.0
240315.716312375, 240315.815091875, -5.0, 4.0
240315.899982, 240315.999792875, -5.0, 4.0
240316.233107583, 240316.348364333, -5.0, 4.0
240316.916444792, 240317.833255208, -5.0, 4.0
240319.049881958, 240319.450056208, 1.02250003814697, 4.0
240319.883286167, 240320.016522542, -5.0, 4.0
240320.7333235, 240321.616747, 14.0574989318848, 4.0
240322.18343475, 240322.300044875, -5.0, 4.0
240323.166924042, 240323.466946292, -0.875, 4.0
240324.616822292, 240325.70033325, 17.0275001525879, 4.0
240326.200277667, 240326.332191708, -5.0, 4.0
240326.917128292, 240327.350432167, 4.07499980926514, 4.0
240327.950459542, 240328.065831667, -5.0, 4.0
240328.133862417, 240328.233758958, -5.0, 4.0
240328.300566792, 240328.417420583, -5.0, 4.0
240328.503013833, 240328.61593925, -5.0, 4.0
240328.683846917, 240328.800460958, -5.0, 4.0
240328.951118167, 240329.082588625, -5.0, 4.0
240329.883903042, 240330.484046083, 1.1875, 4.0
240330.983951125, 240331.116086167, -5.0, 4.0
240331.734006708, 240332.734122708, 12.3249988555908, 4.0
240333.617411125, 240333.700826833, -5.0, 4.0
240334.117590458, 240334.751050917, 10.0975008010864, 4.0
240335.167502167, 240335.300912083, -5.0, 4.0
240335.651004208, 240335.749634792, -5.0, 4.0
240335.834459958, 240335.91764175, -5.0, 4.0
240336.284118708, 240336.399691917, -5.0, 4.0
240337.084357458, 240339.117992, 22.2250003814697, 4.0
240339.65119225, 240339.766578917, -5.0, 4.0
240339.835420417, 240339.933261083, -5.0, 4.0
240340.017961083, 240340.117951125, -5.0, 4.0
240340.217997417, 240340.3166335, -5.0, 4.0
240341.151466125, 240341.401467125, 0.115000247955322, 4.0
240342.5514275, 240343.15143425, 4.23999977111816, 4.0
240343.785062042, 240343.883565542, -5.0, 4.0
240343.951595083, 240344.050203083, -5.0, 4.0
240344.118488375, 240344.233609292, -5.0, 4.0
240344.301450792, 240344.401589875, -5.0, 4.0
240344.651544042, 240344.750229042, -5.0, 4.0
240345.384926167, 240346.501642167, 13.0675010681152, 4.0
240347.018248708, 240347.151665417, -5.0, 4.0
240347.235135792, 240347.333713375, -5.0, 4.0
240348.251725542, 240349.068507958, 9.02500057220459, 4.0
240349.5519225, 240349.683947292, -5.0, 4.0
240349.735071833, 240349.883984333, -5.0, 4.0
240350.418587083, 240351.4017525, 16.3674983978271, 4.0
240351.951998208, 240352.067370042, -5.0, 4.0
240352.135391583, 240352.23554725, -5.0, 4.0
240352.30168325, 240352.433833708, -5.0, 4.0
240353.218808833, 240354.41891325, 27.3400001525879, 4.0
240355.352125042, 240355.434267458, -5.0, 4.0
apartments are too expensive, 88, false, 5
240360.435868292, 240360.802650125, 4.32250022888184, 4.0
240361.485857333, 240361.569267708, -5.0, 4.0
240362.136022083, 240363.136057, 15.0475006103516, 4.0
240363.686130375, 240363.751629417, -5.0, 4.0
240364.302877208, 240364.502958542, 1.10500001907349, 4.0
240365.002859708, 240365.085136208, -5.0, 4.0
240365.719576542, 240367.001772125, 16.1199989318848, 4.0
240367.736369333, 240367.835174125, -5.0, 4.0
240367.903153167, 240367.986419917, -5.0, 4.0
240368.153164125, 240368.2684265, -5.0, 4.0
240368.853182708, 240370.618668208, 19.0900001525879, 4.0
240371.086499833, 240371.169929458, -5.0, 4.0
240371.636422, 240372.186736625, 17.2749996185303, 4.0
240373.603364792, 240373.686910083, 100.0, 1.0
240373.553335125, 240373.918724708, -5.0, 4.0
240374.253400042, 240375.403716375, 13.1499996185303, 4.0
240375.920275792, 240376.003554583, -5.0, 4.0
240376.620382, 240377.120372125, 5.23000049591064, 4.0
240377.553661042, 240377.669067083, -5.0, 4.0
240377.770416917, 240377.869094958, -5.0, 4.0
240377.920474042, 240378.035771958, -5.0, 4.0
240378.253676792, 240378.337007417, -5.0, 4.0
240378.970363917, 240379.336028583, -5.0, 4.0
240380.753779125, 240381.637074875, 14.1399993896484, 4.0
240382.220766208, 240382.287323917, -5.0, 4.0
240383.004167167, 240384.35402425, 18.0174999237061, 4.0
240385.187441917, 240385.302956667, -5.0, 4.0
240385.370985167, 240385.471116292, -5.0, 4.0
240385.554466375, 240385.654396125, -5.0, 4.0
240386.187637875, 240387.071156583, 18.2649993896484, 4.0
240388.754442167, 240389.004495667, -0.875, 4.0
240389.90451975, 240390.254559583, 2.01250028610229, 4.0
240390.754686125, 240390.869966292, -5.0, 4.0
240391.554750083, 240392.871779083, 19.0900001525879, 4.0
240393.604710583, 240393.736927083, -5.0, 4.0
240393.788326708, 240393.888226417, -5.0, 4.0
240394.43835075, 240394.838271208, 4.15750026702881, 4.0
240395.504802667, 240395.63706, -5.0, 4.0
240395.704953208, 240395.803593, -5.0, 4.0
240395.888371125, 240395.98827975, -5.0, 4.0
240396.088305542, 240396.186914458, -5.0, 4.0
240396.288027708, 240396.386973917, -5.0, 4.0
240396.488156083, 240396.588272125, -5.0, 4.0
240397.705045375, 240397.905084583, -0.957499980926514, 4.0
240398.938419208, 240399.905305625, 19.0075016021729, 4.0
240400.788392917, 240400.937400583, -5.0, 4.0
240401.522207, 240402.488779917, 15.0475006103516, 4.0
240403.355625792, 240404.005724625, 13.2325000762939, 4.0
240404.722166167, 240404.821029583, -5.0, 4.0
240404.889077833, 240405.004291958, -5.0, 4.0
240405.089108708, 240405.204273083, -5.0, 4.0
240405.455614958, 240405.60439275, -5.0, 4.0
240406.555732125, 240406.83897975, 0.0325002670288086, 4.0
240407.989026292, 240408.67249075, 4.07499980926514, 4.0
240409.272412667, 240409.38785525, -5.0, 4.0
240409.472591417, 240409.587889333, -5.0, 4.0
240409.655949542, 240409.755891292, -5.0, 4.0
240409.822514042, 240409.938002875, -5.0, 4.0
240409.989285375, 240410.105900667, -5.0, 4.0
240410.172573125, 240410.287886208, -5.0, 4.0
240411.3225785, 240412.971419, 23.0500011444092, 4.0
240414.472831667, 240415.356197, 15.0475006103516, 4.0
240416.122903792, 240416.1883125, -5.0, 4.0
240416.622946667, 240417.122950542, 4.07499980926514, 4.0
240417.556234292, 240417.671662333, -5.0, 4.0
240417.773050917, 240417.856387083, -5.0, 4.0
240417.923052833, 240418.03837925, -5.0, 4.0
