questioning the wisdom of the courts, 0, false, 1
questioning the wisdom of the courts, 148, false, 1
300439.338293083, 300440.738331667, 13.0675010681152, 4.0
300442.121781375, 300442.203865125, -5.0, 4.0
300442.322123458, 300442.403916875, -5.0, 4.0
300442.505573125, 300442.603785333, -5.0, 4.0
300442.921802917, 300443.020506625, -5.0, 4.0
300443.471876458, 300444.055274625, 6.13749980926514, 4.0
300444.705360125, 300444.787542125, -5.0, 4.0
300445.8220635, 300446.055381792, 3.00250053405762, 4.0
300447.40551075, 300448.604460875, 17.2749996185303, 4.0
300449.172246417, 300449.254261833, -5.0, 4.0
300449.3392685, 300449.420918708, -5.0, 4.0
300449.5223465, 300449.587727375, -5.0, 4.0
300449.672201792, 300449.754438875, -5.0, 4.0
300449.8555165, 300449.921182667, -5.0, 4.0
300450.588929292, 300451.405789333, 7.04500007629395, 4.0
300452.587729458, 300452.687854583, -5.0, 4.0
300452.772501958, 300452.871082208, -5.0, 4.0
300452.956052167, 300453.054552167, -5.0, 4.0
300453.622634375, 300454.505738167, 5.14750003814697, 4.0
300455.15591475, 300455.254665458, -5.0, 4.0
300457.372843208, 300457.656215, 1.02250003814697, 4.0
300459.32307225, 300459.88981625, 3.00250053405762, 4.0
300460.523085333, 300462.473224875, 13.0675010681152, 4.0
300465.373261042, 300466.688907125, 27.4225006103516, 4.0
300466.789725417, 300466.839728333, 100.0, 1.0
300466.759035167, 300467.122233417, -5.0, 4.0
300468.040089917, 300468.240003542, 100.0, 1.0
300468.040089917, 300468.505523042, -5.0, 4.0
300471.039427625, 300471.839280417, 27.0925025939941, 4.0
300473.757443875, 300473.873894292, 100.0, 1.0
300473.705891625, 300474.239384958, -5.0, 4.0
300475.255843667, 300475.4407265, 100.0, 1.0
300475.255843667, 300475.722609375, -5.0, 4.0
300476.424056292, 300476.989706667, 6.05500030517578, 4.0
300477.657577208, 300477.723996458, -5.0, 4.0
300477.824119125, 300477.922838208, -5.0, 4.0
300478.007674, 300478.090805792, -5.0, 4.0
300478.290761833, 300478.389560167, -5.0, 4.0
300478.607612417, 300478.707478625, -5.0, 4.0
300479.707780208, 300481.423238958, 15.0475006103516, 4.0
300482.458165625, 300484.556827, 17.0275001525879, 4.0
300485.1914065, 300485.27333725, -5.0, 4.0
300485.358162708, 300485.456715167, -5.0, 4.0
300485.541698458, 300485.608292708, -5.0, 4.0
300485.7078215, 300485.773366083, -5.0, 4.0
300485.858227125, 300485.940183125, -5.0, 4.0
300486.041380625, 300486.090178417, -5.0, 4.0
300486.474781542, 300486.541343208, -5.0, 4.0
300487.491341875, 300488.706964208, 20.1625003814697, 4.0
300489.541943958, 300491.740452167, 19.1725006103516, 4.0
300492.858602375, 300494.975351083, 17.0275001525879, 4.0
300495.5087205, 300495.607490583, -5.0, 4.0
300495.692102125, 300495.774055875, -5.0, 4.0
300495.859006083, 300495.940573542, -5.0, 4.0
take a coffee break, 57, false, 2
300516.059974292, 300517.05840375, 23.2975006103516, 4.0
300517.69345325, 300517.775584708, -5.0, 4.0
300517.860153833, 300517.943706542, -5.0, 4.0
300518.0100965, 300518.108839542, -5.0, 4.0
300518.176824583, 300518.259010292, -5.0, 4.0
300518.326805625, 300518.425478875, -5.0, 4.0
300518.493528125, 300518.592250625, -5.0, 4.0
300519.493703833, 300519.743346667, 0.0325002670288086, 4.0
300520.526835875, 300520.625642083, -5.0, 4.0
300521.260363792, 300521.925954583, 11.2525005340576, 4.0
300522.8271185, 300523.425998167, 5.06500053405762, 4.0
300523.943806792, 300524.042634417, -5.0, 4.0
300524.12734775, 300524.209278708, -5.0, 4.0
300525.69395475, 300525.793967417, -0.875, 4.0
300526.877373042, 300527.110739792, 0.115000247955322, 4.0
300527.943990417, 300528.026098583, -5.0, 4.0
300529.144163417, 300529.310827042, 0.197499752044678, 4.0
300530.661033083, 300530.994314333, 2.01250028610229, 4.0
300533.17670575, 300533.276639958, -5.0, 4.0
300533.377804417, 300533.459767667, -5.0, 4.0
300533.561252833, 300533.6445555, -5.0, 4.0
300534.694572167, 300536.028376625, 13.0675010681152, 4.0
300536.811410333, 300536.893354833, -5.0, 4.0
300536.994672375, 300537.093433625, -5.0, 4.0
300537.178182667, 300537.260079958, -5.0, 4.0
300537.57804725, 300537.676847708, -5.0, 4.0
300538.378205042, 300539.4782425, 4.07499980926514, 4.0
300540.144793167, 300540.227047417, -5.0, 4.0
300540.328411417, 300540.410302958, -5.0, 4.0
300540.495004625, 300540.577166417, -5.0, 4.0
300540.644942, 300540.727105542, -5.0, 4.0
300540.811516958, 300540.8771935, -5.0, 4.0
300540.978234375, 300541.044999, -5.0, 4.0
300541.828255125, 300542.360558833, 5.06500053405762, 4.0
300542.995061958, 300543.0938545, -5.0, 4.0
300543.178449708, 300543.261806542, -5.0, 4.0
300543.34515625, 300543.4438135, -5.0, 4.0
300543.76177425, 300543.860555042, -5.0, 4.0
300544.795255333, 300545.428540917, 5.23000049591064, 4.0
300546.12881975, 300546.244017667, -5.0, 4.0
300547.145340542, 300547.862046958, 6.22000026702881, 4.0
300548.395383583, 300548.477516708, -5.0, 4.0
300548.579122208, 300548.677498417, -5.0, 4.0
300549.812250208, 300550.045581375, 1.02250003814697, 4.0
300551.495605208, 300552.079005042, 0.115000247955322, 4.0
300553.295778417, 300553.377997542, -5.0, 4.0
300553.479111292, 300553.562617708, -5.0, 4.0
300554.129139875, 300555.527832542, 17.2749996185303, 4.0
300556.296121167, 300556.71256625, 5.23000049591064, 4.0
300557.994738833, 300558.09603375, -5.0, 4.0
300558.663069333, 300558.929463375, 0.197499752044678, 4.0
300559.612766458, 300559.694949167, -5.0, 4.0
300560.362898208, 300561.361742, 9.27250003814697, 4.0
300561.979549458, 300562.078899875, -5.0, 4.0
300562.179687208, 300562.245047167, -5.0, 4.0
300562.329789583, 300562.428471625, -5.0, 4.0
300562.729722125, 300562.81173325, -5.0, 4.0
the imagination of the nation, 96, false, 3
300572.080263458, 300572.662611542, 23.2150001525879, 4.0
300573.24696925, 300573.345829, -5.0, 4.0
300573.430709417, 300573.512513833, -5.0, 4.0
300573.580513917, 300573.662481667, -5.0, 4.0
300573.7305625, 300573.829163167, -5.0, 4.0
300573.897075, 300573.9957345, -0.627500057220459, 4.0
300574.063891708, 300574.1458655, -5.0, 4.0
300575.013726333, 300576.096140375, 7.21000003814697, 4.0
300576.68060675, 300576.7626435, -5.0, 4.0
300576.86413725, 300576.930743042, -5.0, 4.0
300577.030857208, 300577.112678792, -5.0, 4.0
300577.81413375, 300579.014088458, 6.05500030517578, 4.0
300579.56420825, 300579.630719875, -5.0, 4.0
300579.730758708, 300579.812890292, -5.0, 4.0
300580.847688208, 300581.047687583, 0.362499713897705, 4.0
300581.931023167, 300582.464319417, 8.69499969482422, 4.0
300582.997783833, 300583.096571792, -5.0, 4.0
300583.831107292, 300584.363144542, 11.1700000762939, 4.0
300584.847875833, 300584.946465792, -5.0, 4.0
300585.031385458, 300585.096652208, -5.0, 4.0
300585.197823542, 300585.279935333, -5.0, 4.0
300585.581209292, 300585.680017875, -5.0, 4.0
300586.231334083, 300586.548117708, 1.02250003814697, 4.0
