the bathroom is good for reading, 0, false, 1
244740.112211042, 244740.210867042, -5.0, 4.0
244740.695176083, 244741.144393458, 9.02500057220459, 4.0
244741.728958375, 244741.810997917, -5.0, 4.0
244741.912239375, 244741.994266208, -5.0, 4.0
244742.078921083, 244742.160967875, -5.0, 4.0
244742.245397833, 244742.344473125, -5.0, 4.0
244742.41234075, 244742.494255208, -5.0, 4.0
244742.662405542, 244742.760988417, -5.0, 4.0
244743.079013833, 244743.177698583, -5.0, 4.0
244743.995723833, 244744.112385625, -0.957499980926514, 4.0
244744.795754292, 244745.045667708, 2.09500026702881, 4.0
244745.562462417, 244745.627820042, -5.0, 4.0
244745.779062417, 244745.87784575, -5.0, 4.0
244746.329222708, 244746.49580025, 0.197499752044678, 4.0
244746.996017917, 244747.094636667, -5.0, 4.0
244747.56264875, 244748.19605925, 9.02500057220459, 4.0
244748.729270167, 244748.878034, -5.0, 4.0
244748.962683833, 244749.061537958, -5.0, 4.0
244749.146128958, 244749.244777083, -5.0, 4.0
244749.312831, 244749.378272375, -5.0, 4.0
244749.462793333, 244749.561585458, -5.0, 4.0
244749.646116167, 244749.728114292, -5.0, 4.0
244750.396194583, 244750.91167625, 13.1499996185303, 4.0
244751.462778167, 244751.54497775, -5.0, 4.0
244751.646434125, 244751.72820575, -5.0, 4.0
244751.846683875, 244751.928282125, -5.0, 4.0
244752.7796395, 244752.929669625, -0.875, 4.0
244753.613067292, 244754.563119625, 3.33249950408936, 4.0
244755.02973525, 244755.1283155, -5.0, 4.0
244755.66316975, 244756.762130583, 16.0375003814697, 4.0
244757.496587583, 244757.578712875, -5.0, 4.0
244757.746733708, 244757.812019667, -5.0, 4.0
244757.979945208, 244758.078677542, -5.0, 4.0
244758.730021792, 244759.545765375, 14.1399993896484, 4.0
244760.029675208, 244760.111941792, -5.0, 4.0
244760.246383167, 244760.328449667, -5.0, 4.0
244760.71308275, 244761.478655208, 19.2550010681152, 4.0
244761.963173708, 244762.045279583, -5.0, 4.0
244762.196630958, 244762.29551825, -5.0, 4.0
244762.830125833, 244763.595929333, 12.0774993896484, 4.0
244764.413896083, 244764.5121765, -5.0, 4.0
244764.6134095, 244764.729214792, -5.0, 4.0
244764.813869417, 244764.912478542, -5.0, 4.0
244764.997066167, 244765.095834208, -5.0, 4.0
244765.21406675, 244765.295953167, -5.0, 4.0
244765.913858708, 244766.730772, 5.3125, 4.0
244767.297178208, 244767.379283333, -5.0, 4.0
244767.497392208, 244767.579398375, -5.0, 4.0
244767.680402417, 244767.779370417, -5.0, 4.0
244767.897365958, 244767.996219542, -5.0, 4.0
the chancellor was very boring, 101, false, 6
244770.047778625, 244771.34623275, 20.0799999237061, 4.0
244771.914162083, 244771.979346167, -5.0, 4.0
244772.347292458, 244772.745938625, 7.04500007629395, 4.0
244773.213967625, 244773.295945167, -5.0, 4.0
244773.414029542, 244773.496193083, -5.0, 4.0
244773.580637042, 244773.662844375, -5.0, 4.0
244773.764183292, 244773.846297167, -5.0, 4.0
244774.497551875, 244774.96421075, 4.07499980926514, 4.0
244775.564452333, 244775.663201125, -5.0, 4.0
244775.764508875, 244775.863137417, -5.0, 4.0
244775.947636208, 244776.046464833, -5.0, 4.0
244776.114558917, 244776.213339667, -5.0, 4.0
244776.280802708, 244776.396280958, -5.0, 4.0
244776.464196917, 244776.546216208, -5.0, 4.0
244777.781234292, 244777.89802225, 0.197499752044678, 4.0
244778.798070417, 244779.263355708, 3.00250053405762, 4.0
244779.814630958, 244779.913389417, -5.0, 4.0
244780.031594, 244780.146740375, -5.0, 4.0
244780.281570417, 244780.381372083, -5.0, 4.0
244780.931533625, 244781.681569458, 6.05500030517578, 4.0
244782.314929667, 244782.414844417, -5.0, 4.0
244782.514954708, 244782.597025917, -5.0, 4.0
244782.68172825, 244782.763739708, -5.0, 4.0
244782.8316555, 244782.948192167, -5.0, 4.0
244782.998430458, 244783.113641125, -5.0, 4.0
244783.215104958, 244783.296987042, -5.0, 4.0
244783.648209167, 244783.746987833, -5.0, 4.0
244783.965016542, 244784.096981542, -5.0, 4.0
244785.048547083, 244785.165166417, 0.0325002670288086, 4.0
244785.698460333, 244785.763795208, -5.0, 4.0
244786.231929458, 244786.963965417, 13.1499996185303, 4.0
244787.465228917, 244787.547303333, -5.0, 4.0
244787.681563208, 244787.780649375, -5.0, 4.0
244788.382075625, 244789.063874583, 3.08500003814697, 4.0
244789.598626667, 244789.680717125, -5.0, 4.0
244789.815410917, 244789.88084625, -5.0, 4.0
244789.998772708, 244790.064164083, -5.0, 4.0
244790.44880025, 244790.7820855, 4.07499980926514, 4.0
244791.332157417, 244791.430855167, -5.0, 4.0
244791.532105917, 244791.630822333, -5.0, 4.0
244791.715452333, 244791.797541125, -5.0, 4.0
