expected,pressure,max,time,elapse,fall,mode,user,id,sentenceFirst,wordFirst,reset,selection
m,13.3150005340576,0.5724999904632568,2.4825043750170153,1.9335072500107344,0.24912437499733642,char,guyizheng_1473671271,2,False,False,False,
e,8.28250026702881,0.4050000011920929,4.2166021669982,3.884571207978297,0.0986790003371425,char,guyizheng_1473671271,2,False,True,False,
v,20.0799999237061,0.7875000238418579,3.766666165989591,2.9682953750016168,0.264908082986949,char,guyizheng_1473671271,2,False,False,False,
e,5.14750003814697,0.3199999928474426,2.1837829999858513,1.8017619169841055,0.08208749964251183,char,guyizheng_1473671271,2,False,False,False,
r,21.1525001525879,0.8100000023841858,3.066625750012463,2.484982125024544,0.33188524964498356,char,guyizheng_1473671271,2,False,False,False,
y,23.0500011444092,0.8575000166893005,6.000644499988994,4.668578999990132,0.198925666307332,char,guyizheng_1473671271,2,False,False,False,
,2.34249973297119,0.23250000178813934,10.518838417017832,10.101820667012362,0.21691841667052358,char,guyizheng_1473671271,2,False,False,False,
t,20.4099998474121,0.7799999713897705,4.115365457982989,2.4837321669911034,0.14862362464191392,char,guyizheng_1473671271,2,False,True,False,
r,17.9349994659424,0.7174999713897705,3.266858292015968,2.6683049999992363,0.3154906666604802,char,guyizheng_1473671271,2,False,False,False,
e,5.06500053405762,0.3125,3.1349174579954706,2.4683006669802126,0.16627020799205638,char,guyizheng_1473671271,2,False,False,False,
e,3.00250053405762,0.26499998569488525,4.100195709004765,3.6336868749931455,0.08339966699713841,char,guyizheng_1473671271,2,False,False,False,
t,20.1625003814697,0.7724999785423279,0.6654377919912804,0.0,0.13213925031595863,char,guyizheng_1473671271,3,True,True,False,
h,7.70499992370605,0.4375,2.0501479580125306,1.0179713329998776,0.4987752083397936,char,guyizheng_1473671271,3,False,False,False,
e,3.08500003814697,0.2475000023841858,1.9013021669816226,1.5013013329880778,0.08329133363440633,char,guyizheng_1473671271,3,False,False,False,
p,13.1499996185303,0.5699999928474426,4.599176457995782,3.817026625009021,0.23222237496520393,char,guyizheng_1473671271,3,False,True,False,
r,15.1300010681152,0.6349999904632568,3.783477250020951,2.084691083000507,0.23202545833191834,char,guyizheng_1473671271,3,False,False,False,
o,14.0574989318848,0.5799999833106995,3.51692437499878,2.9680947919841856,0.24851533334003761,char,guyizheng_1473671271,3,False,False,False,
t,18.0174999237061,0.7149999737739563,3.1835000829887576,2.0181780830025673,0.14877245799289085,char,guyizheng_1473671271,3,False,False,False,
e,10.1800003051758,0.4749999940395355,2.950185291992966,2.6682427499908954,0.08206833331496455,char,guyizheng_1473671271,3,False,False,False,
s,20.1625003814697,0.7799999713897705,8.167471667024074,7.485193333006464,0.26572595865582116,char,guyizheng_1473671271,3,False,False,False,
t,20.1625003814697,0.7649999856948853,3.3499914999993052,2.567940874985652,0.2319623336661607,char,guyizheng_1473671271,3,False,False,False,
e,6.05500030517578,0.3449999988079071,2.5180373749753926,1.8180360829865094,0.1499243336438667,char,guyizheng_1473671271,3,False,False,False,
r,18.1824989318848,0.7250000238418579,4.882454000005964,4.183755000005476,0.19887091699638404,char,guyizheng_1473671271,3,False,False,False,
s,18.1000003814697,0.7200000286102295,3.7347475410206243,2.8847782910161186,0.19987816634238698,char,guyizheng_1473671271,3,False,False,False,
,0.0325002670288086,0.16750000417232513,3.15042474999791,2.850319874996785,0.11690924965660088,char,guyizheng_1473671271,3,False,False,False,
b,3.00250053405762,0.24500000476837158,2.483387958985986,1.9501826249761507,0.1668582503334619,char,guyizheng_1473671271,3,False,True,False,
l,11.0874996185303,0.5,3.8990101249946747,3.116982540988829,0.1820102919882629,char,guyizheng_1473671271,3,False,False,False,
o,14.1399993896484,0.6000000238418579,3.3680629580048844,2.701414458017098,0.21660224997322075,char,guyizheng_1473671271,3,False,False,False,
c,6.30249977111816,0.3499999940395355,3.9325290420092642,3.5502371249895077,0.16573045865516178,char,guyizheng_1473671271,3,False,False,False,
k,10.0975008010864,0.4625000059604645,6.468311290984275,5.301535290986067,0.21680962466052733,char,guyizheng_1473671271,3,False,False,False,
e,3.00250053405762,0.27250000834465027,2.7168013339978643,2.150034250022145,0.1000458336493466,char,guyizheng_1473671271,3,False,False,False,
d,3.08500003814697,0.26750001311302185,3.2001393750251736,2.6505125830008183,0.13339008367620409,char,guyizheng_1473671271,3,False,False,False,
,1.02250003814697,0.18250000476837158,3.21686674997909,2.8834962909750175,0.15015520865563303,char,guyizheng_1473671271,3,False,False,False,
a,2.01250028610229,0.21250000596046448,2.5168213330034632,2.1334642080182675,0.08324666664702818,char,guyizheng_1473671271,3,False,True,False,
l,11.0874996185303,0.5149999856948853,4.016978917003144,2.900202791992342,0.2166841669823043,char,guyizheng_1473671271,3,False,False,False,
l,11.2525005340576,0.512499988079071,2.4834552080137655,1.9167727080057375,0.21675733334268443,char,guyizheng_1473671271,3,False,False,False,
,1.1875,0.20250000059604645,2.4006565829913598,2.1002597919723485,0.2005719996523112,char,guyizheng_1473671271,3,False,False,False,
t,20.4924983978271,0.7825000286102295,3.0818518750020303,1.6996757090091705,0.23213262466015294,char,guyizheng_1473671271,3,False,True,False,
