word,time,elapse,selection,user,id,in_sentence,mode,sentence_first,reset
of,2.2333341670164373,2.4670425829826854,0.0,guyizheng_1473671271,34,3,word,False,False
teaching,8.21750729199266,2.233452375017805,0.0,guyizheng_1473671271,35,0,word,True,False
services,9.933798541984288,2.7169058750150725,0.0,guyizheng_1473671271,35,1,word,False,False
will,3.6002191249863245,2.650532583007589,0.0,guyizheng_1473671271,35,2,word,False,False
gun,2.6832115419965703,2.651658916991437,1.932146333012497,guyizheng_1473671271,36,0,word,True,False
powder,7.98394195799483,2.116834292013664,0.0,guyizheng_1473671271,36,1,word,False,False
must,3.69965970798512,1.6504581249901094,0.0,guyizheng_1473671271,36,2,word,False,False
be,1.3501648340024985,2.1667439580196515,0.0,guyizheng_1473671271,36,3,word,False,False
handled,9.867236582998885,3.150207250000676,0.0,guyizheng_1473671271,36,4,word,False,False
with,4.383760166994762,2.150110666989349,0.0,guyizheng_1473671271,36,5,word,False,False
the,2.4167092079878785,1.4334578330162913,0.0,guyizheng_1473671271,37,0,word,True,False
dow,2.53355749999173,1.735046208021231,4.215495958982501,guyizheng_1473671271,37,1,word,False,False
jones,4.5833268749993294,2.433614417008357,0.0,guyizheng_1473671271,37,2,word,False,False
index,5.033579457987798,1.566805624985136,0.0,guyizheng_1473671271,37,3,word,False,False
has,2.133416833006777,1.3503755840065423,0.0,guyizheng_1473671271,37,4,word,False,False
rent,3.699713874986628,1.4667504160024691,2.167023334011901,guyizheng_1473671271,38,0,word,True,False
is,1.4001518749864772,2.7167059170024004,0.0,guyizheng_1473671271,38,1,word,False,False
paid,2.8336450830101967,1.3667999579920433,1.7166686670097988,guyizheng_1473671271,38,2,word,False,False
at,1.150161458994262,1.533911041013198,0.0,guyizheng_1473671271,38,3,word,False,False
the,2.866382291977061,1.400022917019669,0.0,guyizheng_1473671271,38,4,word,False,False
beginning,10.267286749993218,2.2001807499909773,0.0,guyizheng_1473671271,38,5,word,False,False
of,1.7000573750119656,2.1503164159948938,0.0,guyizheng_1473671271,38,6,word,False,False
the,2.51671341698966,1.4833545420260634,0.0,guyizheng_1473671271,38,7,word,False,False
a,0.30002437499933876,2.350333500013221,0.0,guyizheng_1473671271,39,0,word,True,False
subject,9.283663207985228,1.3505036669957917,0.0,guyizheng_1473671271,39,1,word,False,False
one,1.799636833020486,2.0170085830031894,0.0,guyizheng_1473671271,39,2,word,False,False
ban,2.0834217089868616,1.1668321659963112,0.0,guyizheng_1473671271,39,3,word,False,False
i,1.9334129170165397,2.250075541989645,0.0,guyizheng_1473671271,39,4,word,False,False
can,9.133830250008032,2.9169496670074295,0.0,guyizheng_1473671271,39,3,word,False,False
really,5.583654416986974,2.166739875014173,0.0,guyizheng_1473671271,39,4,word,False,False
the,1.7165282919886522,1.600278583006002,0.0,guyizheng_1473671271,40,0,word,True,False
dog,2.0002179169969168,5.950466999987839,9.717072458006442,guyizheng_1473671271,40,1,word,False,False
buried,7.667116791999433,1.2501084170071408,0.0,guyizheng_1473671271,40,2,word,False,False
the,2.516877000016393,2.1000390829867683,0.0,guyizheng_1473671271,40,3,word,False,False
did,2.0001413749996573,2.500114583002869,0.0,guyizheng_1473671271,41,0,word,True,False
you,2.7667549579928163,1.5335279170249123,0.0,guyizheng_1473671271,41,1,word,False,False
see,1.9167636669881176,1.716865708003752,0.0,guyizheng_1473671271,41,2,word,False,False
that,3.0834545000107028,1.5001400829933118,0.0,guyizheng_1473671271,41,3,word,False,False
spectacular,11.467241374979494,3.616927375027444,0.0,guyizheng_1473671271,41,4,word,False,False
get,2.2831199590000324,1.1348918750009034,1.0485957500059158,guyizheng_1473671271,42,0,word,True,False
aboard,4.750306458008708,1.3333702079835348,0.0,guyizheng_1473671271,42,1,word,False,False
the,2.06681491699419,1.1669087080226745,0.0,guyizheng_1473671271,42,2,word,False,False
ship,3.983411333989352,1.2678243750124238,1.698943875002442,guyizheng_1473671271,42,3,word,False,False
ita,3.2836006249999627,1.6501604579971172,0.0,guyizheng_1473671271,42,4,word,False,False
ship,3.2836006249999627,1.6667880839959253,1.733456665999256,guyizheng_1473671271,42,3,word,False,False
is,1.900294291001046,1.66926537497784,0.0,guyizheng_1473671271,42,4,word,False,False
what,3.65015970802051,2.216872249991866,0.0,guyizheng_1473671271,43,0,word,True,False
to,1.7167588330048602,1.7000733339809813,0.0,guyizheng_1473671271,43,1,word,False,False
do,2.2334689580020495,2.5501673750113696,0.0,guyizheng_1473671271,43,2,word,False,False
when,6.217138417006936,1.5000897499849088,0.0,guyizheng_1473671271,43,3,word,False,False
the,2.233452332991874,1.7001765000168234,0.0,guyizheng_1473671271,43,4,word,False,False
oil,3.3169477919873316,1.5681584579870105,1.2985815000138246,guyizheng_1473671271,43,5,word,False,False
runs,6.467026583006373,2.750328541995259,0.0,guyizheng_1473671271,43,6,word,False,False
the,2.083234457997605,2.767003000015393,0.0,guyizheng_1473671271,44,0,word,True,False
chamber,5.433581499994034,1.9669231669977307,0.0,guyizheng_1473671271,44,1,word,False,False
makes,5.316868374997284,2.1833712499937974,0.0,guyizheng_1473671271,44,2,word,False,False
important,13.951027167000575,2.0668087910162285,0.0,guyizheng_1473671271,44,3,word,False,False
the,1.8000195419881493,1.2334189579996746,0.0,guyizheng_1473671271,45,0,word,True,False
food,2.7669097500038333,1.4347063330060337,1.5987961670034565,guyizheng_1473671271,45,1,word,False,False
at,1.283363875001669,3.0502251670113765,0.0,guyizheng_1473671271,45,2,word,False,False
