char, time, pressure, rel_pressure, prev, rel_prev, user, group, id, 
n, 0.9666783334014326, 12.0774993896484, -0.42250061035160513, 18.0174999237061, -5.940000534057701, guyizheng_1472546320, 3.0, 9,
n, 1.0668386666002334, 15.0475006103516, 2.547500610351605, 24.0399990081787, -8.9924983978271, guyizheng_1472546320, 3.0, 10,
y, 1.0001859167005023, 24.0399990081787, 0.5399990081786967, 19.0900001525879, 4.949998855590799, guyizheng_1472546320, 3.0, 10,
t, 1.5664134999988164, 19.0900001525879, 0.5900001525879048, 15.0475006103516, 4.0424995422363015, guyizheng_1472546320, 3.0, 10,
o, 1.2173321249993023, 14.3874988555908, 0.8874988555908061, 7.29250049591064, 7.094998359680161, guyizheng_1472546320, 3.0, 11,
f, 0.8502581249995274, 7.29250049591064, 2.7925004959106445, 8.03500080108643, -0.7425003051757892, guyizheng_1472546320, 3.0, 11,
j, 1.1004862082991167, 8.03500080108643, -0.4649991989135742, 14.3874988555908, -6.352498054504371, guyizheng_1472546320, 3.0, 11,
n, 1.0001746666002873, 13.0675010681152, 0.567501068115206, 16.2024993896484, -3.134998321533198, guyizheng_1472546320, 3.0, 12,
p, 1.2165327083002921, 16.2024993896484, 1.7024993896483949, 9.19000053405762, 7.012498855590778, guyizheng_1472546320, 3.0, 12,
j, 0.6830414999985805, 9.19000053405762, 0.6900005340576172, 13.0675010681152, -3.87750053405758, guyizheng_1472546320, 3.0, 12,
t, 0.6999761666993436, 18.1824989318848, -0.31750106811520595, 16.4499988555908, 1.7325000762940022, guyizheng_1472546320, 3.0, 13,
q, 1.116766666600597, 16.4499988555908, 0.9499988555907919, 7.04500007629395, 9.40499877929685, guyizheng_1472546320, 3.0, 13,
h, 0.6000431666998338, 7.04500007629395, 0.5450000762939453, 18.1824989318848, -11.137498855590852, guyizheng_1472546320, 3.0, 13,
j, 0.6004185417004919, 10.0150003433228, 1.5150003433227965, 19.0075016021729, -8.992501258850101, guyizheng_1472546320, 3.0, 14,
t, 1.0498487916993327, 19.0075016021729, 0.5075016021729084, 15.2950000762939, 3.712501525879002, guyizheng_1472546320, 3.0, 14,
o, 0.9997004583001399, 15.2950000762939, 1.7950000762939027, 10.0150003433228, 5.279999732971099, guyizheng_1472546320, 3.0, 14,
d, 0.5170684165987041, 4.32250022888184, 1.822500228881836, 11.0050010681152, -6.68250083923336, guyizheng_1472546320, 3.0, 15,
l, 0.6165511250001146, 11.0050010681152, 0.505001068115206, 1.1875, 9.8175010681152, guyizheng_1472546320, 3.0, 15,
b, 0.3999066666001454, 1.1875, 0.6875, 4.32250022888184, -3.1350002288818404, guyizheng_1472546320, 3.0, 15,
w, 1.3830865834006545, 21.3175010681152, -0.18249893188479405, 12.2424983978271, 9.075002670288098, guyizheng_1472546320, 3.0, 16,
m, 0.9170137083001464, 12.2424983978271, 0.7424983978271058, 6.05500030517578, 6.18749809265132, guyizheng_1472546320, 3.0, 16,
f, 0.6834272082996904, 6.05500030517578, 1.5550003051757812, 21.3175010681152, -15.262500762939418, guyizheng_1472546320, 3.0, 16,
t, 0.9164739999996527, 17.1925010681152, -1.307498931884794, 8.36499977111816, 8.827501296997038, guyizheng_1472546320, 3.0, 17,
g, 0.5666765000005398, 8.36499977111816, 2.864999771118164, 22.1424999237061, -13.77750015258794, guyizheng_1472546320, 3.0, 17,
y, 0.9165374999993219, 22.1424999237061, -1.3575000762939027, 17.1925010681152, 4.949998855590902, guyizheng_1472546320, 3.0, 17,
o, 0.6825926250003249, 15.0475006103516, 1.5475006103516051, 16.0375003814697, -0.9899997711181019, guyizheng_1472546320, 3.0, 18,
s, 1.0501586250011314, 16.0375003814697, -1.4624996185303019, 18.3474998474121, -2.309999465942397, guyizheng_1472546320, 3.0, 18,
o, 0.6333093749999534, 18.3474998474121, 4.847499847412095, 15.0475006103516, 3.299999237060499, guyizheng_1472546320, 3.0, 18,
j, 0.5664880416989035, 10.0150003433228, 1.5150003433227965, 14.2224998474121, -4.2074995040893, guyizheng_1472546320, 3.0, 19,
o, 0.7665717500003666, 14.2224998474121, 0.7224998474120952, 9.10750007629395, 5.11499977111815, guyizheng_1472546320, 3.0, 19,
g, 0.43316799999956856, 9.10750007629395, 3.6075000762939453, 10.0150003433228, -0.9075002670288494, guyizheng_1472546320, 3.0, 19,
j, 0.5321228332995815, 9.02500057220459, 0.5250005722045898, 9.02500057220459, 0.0, guyizheng_1472546320, 3.0, 20,
j, 0.9171197499999835, 9.02500057220459, 0.5250005722045898, 3.08500003814697, 5.94000053405762, guyizheng_1472546320, 3.0, 20,
b, 0.4003926249988581, 3.08500003814697, 2.5850000381469727, 9.02500057220459, -5.94000053405762, guyizheng_1472546320, 3.0, 20,
g, 0.8998912082988682, 5.06500053405762, -0.4349994659423828, 10.0150003433228, -4.94999980926518, guyizheng_1472546320, 3.0, 21,
j, 0.6498769999998331, 10.0150003433228, 1.5150003433227965, 13.2325000762939, -3.217499732971099, guyizheng_1472546320, 3.0, 21,
m, 0.7164415000006557, 13.2325000762939, 1.7325000762939027, 5.06500053405762, 8.167499542236278, guyizheng_1472546320, 3.0, 21,
z, 0.9168132083013916, 25.1125011444092, 0.6125011444092081, 2.01250028610229, 23.10000085830691, guyizheng_1472546320, 3.0, 22,
b, 0.3000397499999963, 2.01250028610229, 1.512500286102295, 4.07499980926514, -2.0624995231628502, guyizheng_1472546320, 3.0, 22,
d, 0.46661458339985984, 4.07499980926514, 1.5749998092651367, 25.1125011444092, -21.03750133514406, guyizheng_1472546320, 3.0, 22,
g, 0.38153183329995954, 8.19999980926514, 2.6999998092651367, 13.1499996185303, -4.94999980926516, guyizheng_1472546320, 3.0, 23,
l, 0.583345583299888, 13.1499996185303, 2.649999618530302, 24.1224994659424, -10.9724998474121, guyizheng_1472546320, 3.0, 23,
x, 1.217435833399577, 24.1224994659424, 1.622499465942397, 8.19999980926514, 15.92249965667726, guyizheng_1472546320, 3.0, 23,
f, 0.3152194166996196, 7.04500007629395, 2.5450000762939453, 8.19999980926514, -1.1549997329711905, guyizheng_1472546320, 3.0, 24,
g, 0.4500917084005778, 8.19999980926514, 2.6999998092651367, 16.0375003814697, -7.837500572204561, guyizheng_1472546320, 3.0, 24,
r, 0.8001686250008788, 16.0375003814697, -0.46249961853030186, 7.04500007629395, 8.992500305175753, guyizheng_1472546320, 3.0, 24,
v, 0.6834243332996266, 22.1424999237061, 1.6424999237060973, 22.0599994659424, 0.0825004577637003, guyizheng_1472546320, 3.0, 25,
w, 0.8998063334001927, 22.0599994659424, 0.559999465942397, 11.0050010681152, 11.0549983978272, guyizheng_1472546320, 3.0, 25,
l, 0.6331584167000983, 11.0050010681152, 0.505001068115206, 22.1424999237061, -11.1374988555909, guyizheng_1472546320, 3.0, 25,
a, 0.34982841669989284, -0.875, -0.375, 3.00250053405762, -3.87750053405762, guyizheng_1472546320, 3.0, 26,
e, 0.40006637499936915, 3.00250053405762, -0.4974994659423828, 6.13749980926514, -3.1349992752075204, guyizheng_1472546320, 3.0, 26,
c, 0.33366716660020757, 6.13749980926514, 4.637499809265137, -0.875, 7.01249980926514, guyizheng_1472546320, 3.0, 26,
u, 0.9164646249992074, 19.0075016021729, -0.4924983978270916, 22.2250003814697, -3.2174987792968004, guyizheng_1472546320, 3.0, 27,
y, 0.8335935415998392, 22.2250003814697, -1.2749996185303019, 6.05500030517578, 16.17000007629392, guyizheng_1472546320, 3.0, 27,
f, 0.649631708398374, 6.05500030517578, 1.5550003051757812, 19.0075016021729, -12.95250129699712, guyizheng_1472546320, 3.0, 27,
c, 0.48331870830043044, 2.01250028610229, 0.5125002861022949, 3.00250053405762, -0.9900002479553298, guyizheng_1472546320, 3.0, 28,
d, 0.48340087500037043, 3.00250053405762, 0.5025005340576172, 21.1525001525879, -18.14999961853028, guyizheng_1472546320, 3.0, 28,
w, 0.7833814166988304, 21.1525001525879, -0.34749984741209516, 2.01250028610229, 19.13999986648561, guyizheng_1472546320, 3.0, 28,
y, 0.9000839583004563, 23.4624996185303, -0.03750038146969814, 0.0325002670288086, 23.42999935150149, guyizheng_1472546320, 3.0, 29,
a, 0.28322658330034756, 0.0325002670288086, 0.5325002670288086, 12.0774993896484, -12.044999122619592, guyizheng_1472546320, 3.0, 29,
m, 0.7164882500001113, 12.0774993896484, 0.5774993896483949, 23.4624996185303, -11.385000228881898, guyizheng_1472546320, 3.0, 29,
i, 0.533225583300009, 11.0874996185303, 3.587499618530302, 21.2350006103516, -10.147500991821301, guyizheng_1472546320, 3.0, 30,
v, 1.2333919165994303, 21.2350006103516, 0.7350006103516051, 11.0050010681152, 10.229999542236401, guyizheng_1472546320, 3.0, 30,
k, 0.5497709166011191, 11.0050010681152, 1.505001068115206, 11.0874996185303, -0.08249855041509946, guyizheng_1472546320, 3.0, 30,
c, 0.4165360416009207, 1.02250003814697, -0.47749996185302734, 24.0399990081787, -23.01749897003173, guyizheng_1472546320, 3.0, 31,
x, 1.249833916699572, 24.0399990081787, 1.5399990081786967, 11.0050010681152, 13.0349979400635, guyizheng_1472546320, 3.0, 31,
k, 0.633335041700775, 11.0050010681152, 1.505001068115206, 1.02250003814697, 9.98250102996823, guyizheng_1472546320, 3.0, 31,
